schema_version,metadata_json,sample_index,time,reference.dop853.x.particle_1,reference.dop853.x.particle_2,reference.dop853.x.particle_3,reference.dop853.y.particle_1,reference.dop853.y.particle_2,reference.dop853.y.particle_3,reference.radau.x.particle_1,reference.radau.x.particle_2,reference.radau.x.particle_3,reference.radau.y.particle_1,reference.radau.y.particle_2,reference.radau.y.particle_3,reference.audit_distance.particle_1,reference.audit_distance.particle_2,reference.audit_distance.particle_3,reference.energy_error.particle_1,reference.energy_error.particle_2,reference.energy_error.particle_3,BM4Implicit.x.particle_1,BM4Implicit.x.particle_2,BM4Implicit.x.particle_3,BM4Implicit.y.particle_1,BM4Implicit.y.particle_2,BM4Implicit.y.particle_3,BM4Implicit.distance.particle_1,BM4Implicit.distance.particle_2,BM4Implicit.distance.particle_3,BM4Implicit.energy_error.particle_1,BM4Implicit.energy_error.particle_2,BM4Implicit.energy_error.particle_3,BM4Implicit.rms_distance,BM4Implicit.mean_distance,BM4Implicit.maximum_distance,BM4Implicit.diagnostic.nonlinear_iterations,BM4Implicit.diagnostic.nonlinear_iterations.substep.1,BM4Implicit.diagnostic.nonlinear_iterations.substep.2,BM4Implicit.diagnostic.nonlinear_iterations.substep.3,BM4Implicit.diagnostic.residual_evaluations,BM4Implicit.diagnostic.residual_evaluations.substep.1,BM4Implicit.diagnostic.residual_evaluations.substep.2,BM4Implicit.diagnostic.residual_evaluations.substep.3,BM4Implicit.diagnostic.nonlinear_residual_norms,BM4Implicit.diagnostic.nonlinear_residual_norms.substep.1,BM4Implicit.diagnostic.nonlinear_residual_norms.substep.2,BM4Implicit.diagnostic.nonlinear_residual_norms.substep.3,BM4Implicit.diagnostic.nonlinear_tolerances,BM4Implicit.diagnostic.nonlinear_tolerances.substep.1,BM4Implicit.diagnostic.nonlinear_tolerances.substep.2,BM4Implicit.diagnostic.nonlinear_tolerances.substep.3,BM4Implicit.diagnostic.projection_multiplier_norms,BM4Implicit.diagnostic.projection_multiplier_norms.substep.1,BM4Implicit.diagnostic.projection_multiplier_norms.substep.2,BM4Implicit.diagnostic.projection_multiplier_norms.substep.3,GaussLegendre4.x.particle_1,GaussLegendre4.x.particle_2,GaussLegendre4.x.particle_3,GaussLegendre4.y.particle_1,GaussLegendre4.y.particle_2,GaussLegendre4.y.particle_3,GaussLegendre4.distance.particle_1,GaussLegendre4.distance.particle_2,GaussLegendre4.distance.particle_3,GaussLegendre4.energy_error.particle_1,GaussLegendre4.energy_error.particle_2,GaussLegendre4.energy_error.particle_3,GaussLegendre4.rms_distance,GaussLegendre4.mean_distance,GaussLegendre4.maximum_distance,GaussLegendre4.diagnostic.nonlinear_iterations,GaussLegendre4.diagnostic.nonlinear_iterations.substep.1,GaussLegendre4.diagnostic.nonlinear_iterations.substep.2,GaussLegendre4.diagnostic.nonlinear_iterations.substep.3,GaussLegendre4.diagnostic.residual_evaluations,GaussLegendre4.diagnostic.residual_evaluations.substep.1,GaussLegendre4.diagnostic.residual_evaluations.substep.2,GaussLegendre4.diagnostic.residual_evaluations.substep.3,GaussLegendre4.diagnostic.nonlinear_residual_norms,GaussLegendre4.diagnostic.nonlinear_residual_norms.substep.1,GaussLegendre4.diagnostic.nonlinear_residual_norms.substep.2,GaussLegendre4.diagnostic.nonlinear_residual_norms.substep.3,GaussLegendre4.diagnostic.nonlinear_tolerances,GaussLegendre4.diagnostic.nonlinear_tolerances.substep.1,GaussLegendre4.diagnostic.nonlinear_tolerances.substep.2,GaussLegendre4.diagnostic.nonlinear_tolerances.substep.3,RK4.x.particle_1,RK4.x.particle_2,RK4.x.particle_3,RK4.y.particle_1,RK4.y.particle_2,RK4.y.particle_3,RK4.distance.particle_1,RK4.distance.particle_2,RK4.distance.particle_3,RK4.energy_error.particle_1,RK4.energy_error.particle_2,RK4.energy_error.particle_3,RK4.rms_distance,RK4.mean_distance,RK4.maximum_distance
1,,4602,92.040000000000006,8.4779619801594155,7.8660421262423981,5.066060513545489,10.202798207312455,15.538164295768626,4.5381615882214685,6.8234812114421119,7.866813311015088,5.0661763113921356,9.6252180708860937,15.538725094223423,4.5382639920030119,1.7523999052869441,0.00095353073392105822,0.00015458226212076482,1.0601648589678518,0.00066696295243318104,-0.00063215854576981201,7.7450404343791535,7.867857541548358,5.0660222620645019,7.3741088836911786,15.539478206699574,4.5381261297505517,2.9220980958615885,0.0022410030494346644,5.2158210834591875e-05,0.34502151709549622,-0.0015534158549002086,-0.00021490893713149717,1.6870746186474255,0.97479708570728585,2.9220980958615885,1,1,1,1,2,2,2,2,5.8084271326411064e-15,6.1869717336207431e-15,4.8330570531718143e-15,8.9363799703143243e-15,1.5608623253904011e-11,1.5616287373491151e-11,1.5624013732656735e-11,1.5631771040179542e-11,3.3749954857206601e-09,3.6168577728852226e-10,7.8774073554765331e-10,1.2353502662533461e-07,11.989791317102464,7.8061638820421768,5.0685627224041658,8.3133881930133136,15.492695223947925,4.5400807350564243,3.9878334335761481,0.07518537504553198,0.0031534384006282582,-0.169701741916505,0.057093321670521391,0.012529283645221767,2.3027865930029363,1.3553907490074362,3.9878334335761481,2,2,2,2,3,3,3,3,8.5744128811016118e-16,7.1991024253037494e-16,7.4864160010124081e-16,6.4965394175331426e-16,1.556360382944663e-11,1.5570652632810975e-11,1.5577896753387481e-11,1.5585253768352501e-11,11.255818205109142,7.8917210774059692,5.0628080023026358,9.479034793064617,15.552068646231307,4.5351592016829656,2.8705955281605995,0.029201703625817591,0.0044264155150035654,-1.070626100217396,-0.0079423628346368957,-0.018300257891809224,1.657426822813463,0.96807454910047364,2.8705955281605995
1,,4603,92.060000000000002,8.4679228393607815,7.9342398219029002,4.9919018509437887,10.197327689785549,15.566500389453553,4.5891896209430829,6.8306283551156142,7.9350696114466199,4.9920205018024877,9.627555518282918,15.567003630406582,4.5892752775546102,1.7336013254374467,0.00097046491109671444,0.00014633892636101416,1.1067218080771966,0.00070302463790739012,-0.00065047829316000616,7.7314307967852152,7.9361927608965139,4.9918626085637916,7.3855511102173406,15.567678542111338,4.5891595347363694,2.9066317383159195,0.0022807924933726772,4.9448399593049694e-05,0.34345111969943076,-0.0016376503284050159,-0.0002215868015973399,1.6781451334380038,0.96965399306962841,2.9066317383159195,1,1,1,1,2,2,2,2,3.952174555898767e-15,1.9543614299587767e-15,4.6068505227023324e-15,3.2316482867630646e-15,1.5639478206699575e-11,1.5646995268501162e-11,1.5654201028946556e-11,1.5661083746403429e-11,4.3974408397399898e-08,6.1822845446586051e-10,2.2093360113318894e-08,1.1228184866447042e-08,11.996705445778122,7.8722826889605875,4.9944616577917813,8.2933683845565138,15.523169038260715,4.5907295737208269,4.0096593021504701,0.075606165877053516,0.0029873174683503825,-0.068321097249480545,0.060722068445400623,0.012900183033654145,2.3153900273104515,1.3627509284986248,4.0096593021504701,2,2,2,2,3,3,3,3,4.5428071027142636e-16,8.311493854273877e-16,5.9327542878406803e-16,7.0006934277389021e-16,1.5592695223947925e-11,1.5600235802397405e-11,1.5607866135267215e-11,1.5615541442879655e-11,11.273057460024502,7.9612726616058556,4.9885830791623658,9.4920046228782464,15.578530888181263,4.5866164395485916,2.8924489396975908,0.029588972980538562,0.0041994652785956191,-1.0222121977022383,-0.0086164910509864967,-0.018841128981875954,1.6700453099230959,0.9754124593189083,2.8924489396975908
1,,4604,92.079999999999998,8.4575318162834581,8.0068114338478527,4.9175064104827353,10.189989400535508,15.591013256108701,4.6440908432224379,6.8361942951815946,8.0076762487114905,4.9176132272656217,9.6323289711641777,15.591476834238719,4.644195686629109,1.7145613176026555,0.00098122853148507536,0.00014967286002611489,1.1431271634129345,0.0007346123514331282,-0.00066707435117763225,7.7218817929796,8.0088458265976143,4.9174712307534936,7.3978922838572831,15.592097905152674,4.6440543141632062,2.8873841562476272,0.0023054755277109782,5.0714746552382728e-05,0.32779990997391906,-0.001711307722644051,-0.00022743118742241109,1.667032551525736,0.96324678217396353,2.8873841562476272,1,1,1,1,2,2,2,2,1.565825132433207e-14,3.6241779192842886e-15,4.9450973881140997e-15,2.8211713445637195e-15,1.5667678542111339e-11,1.5674051565474207e-11,1.568026056168089e-11,1.568629019785969e-11,8.2000911081897365e-09,1.7209802829316974e-09,2.4774455519584177e-09,1.8290637083298724e-08,12.002782183798862,7.9407273224698471,4.9198533725865152,8.2739558332065517,15.551220559432224,4.6460204964987026,4.0298864499510945,0.077139927958267657,0.0030383865592071521,0.027907336217545264,0.064012673245027685,0.013249665683819245,2.3270829092648535,1.3700215881561897,4.0298864499510945,2,2,2,2,3,3,3,3,8.7668587667177889e-16,6.0845425919886509e-16,7.2294600861333436e-16,7.3985956250410823e-16,1.5623169038260716e-11,1.5630603609761495e-11,1.5637755495873232e-11,1.5644618783408325e-11,11.290629751502493,8.0345669519801373,4.914559570487385,9.5062438684408335,15.601613356962996,4.6409366180379124,2.9144385159412418,0.029710788022414031,0.004316596167454884,-0.96752060463943934,-0.0092055979736791471,-0.019309185899427206,1.6827411394437324,0.98282196671037025,2.9144385159412418
1,,4605,92.100000000000009,8.4468744555641475,8.0832083418998817,4.8373940811882212,10.18075767676261,15.611559251664398,4.6910097390500622,6.8401113285871809,8.0841055657666185,4.8374813283140679,9.6397669765635889,15.611967303456865,4.6911256070475726,1.6953933714376221,0.00098565558506918493,0.00014504293783541223,1.1688065025838696,0.0007596566736296495,-0.00067993683691724982,7.7166515957546098,8.0853182715039811,4.8373655983186676,7.4108838258267653,15.612514042809163,4.6909694733957039,2.864511577055779,0.0023159078272630461,4.9321362298017492e-05,0.29817447657127616,-0.0017699175212442242,-0.00023174842745632418,1.65382707086203,0.95562560208177993,2.864511577055779,1,1,1,1,2,2,2,2,5.4401262247765017e-15,1.300779431984737e-14,7.3723840951036297e-15,5.3897458500200209e-15,1.5692097905152675e-11,1.5697631522478198e-11,1.5702851461774206e-11,1.5707783733071557e-11,2.9976526438731293e-09,9.7375479259264285e-10,3.1412000683125935e-08,8.5055078359191092e-10,12.007684879181571,8.0141723425848497,4.8393683771247646,8.2552742659641254,15.575789137312926,4.6931579817157507,4.0480683341814609,0.077752622348975869,0.0029176687604551932,0.11702173922514447,0.066687575479406291,0.013499886694923191,2.3375850231436006,1.3762462084302973,4.0480683341814609,2,2,2,2,3,3,3,3,6.904741535473935e-16,8.5722444767566408e-16,7.9970752242530807e-16,7.1297134862646772e-16,1.5651220559432225e-11,1.5657619699188542e-11,1.5663857959965765e-11,1.5669923664117177e-11,11.308382953807397,8.1116691181519709,4.835049007815428,9.5217026803001037,15.620640852254706,4.6875344471120037,2.9364237388157273,0.029874592116937302,0.0041924960558751365,-0.90710244149244801,-0.0094302132354400214,-0.019682283304920389,1.6954345010604086,0.99016360899617994,2.9364237388157273
1,,4606,92.120000000000005,8.4360440672714834,8.1632500519414233,4.7576553221213862,10.169636231517961,15.62909425939611,4.7437678227069693,6.8423634749123075,8.1641741542086645,4.7577306347767188,9.6500567310182941,15.629431639131825,4.7438879420051778,1.6762400448031831,0.0009837632267936775,0.00014177673242003088,1.1833382942752237,0.00074582059386685273,-0.00069037346995060034,7.7159030262200581,8.1654236221011214,4.7576308884007279,7.4243741904674243,15.629879991392629,4.7437260402346872,2.8381449563120609,0.0023112295449573481,4.8402290185110901e-05,0.25503550166475009,-0.0017363267080732214,-0.00023515920447891858,1.638604298090744,0.94683486271573447,2.8381449563120609,1,1,1,1,2,2,2,2,8.6911203919850965e-15,1.1107738074165376e-14,8.2827711670033968e-15,4.2003504601867901e-15,1.5712514042809166e-11,1.5717166437029038e-11,1.5721766634667201e-11,1.5726100506630629e-11,1.0178568743315614e-07,1.2439413024524607e-08,1.3760246416259467e-08,7.4159490585126527e-10,12.011107770477311,8.0924149919798545,4.7593977559970275,8.2374265539713161,15.596732102387371,4.7459725588996644,4.0638054480972237,0.077877563688249427,0.0028101490156862202,0.19721365528373269,0.067412605389968405,0.013699055607183652,2.3466705159898487,1.3814977202670533,4.0638054480972237,2,2,2,2,3,3,3,3,8.31799906730879e-16,8.5429710180995322e-16,8.1185058675714572e-16,5.8460181140418399e-16,1.5675789137312928e-11,1.5681413398943826e-11,1.5686756103725729e-11,1.5691831896332233e-11,11.326201844330921,8.1925257870694406,4.7556781002725925,9.5382464229299391,15.635067062132388,4.7401365807980991,2.9583213258004899,0.029878805863225312,0.0041346492039933012,-0.84157745630201219,-0.0083751313409621275,-0.01998894692136588,1.7080763941785333,0.99744492695590281,2.9583213258004899
1,,4607,92.140000000000001,8.4251398497882821,8.2479787988715128,4.6799861688270274,10.156647409686235,15.638583376496863,4.802145055797066,6.8429787915932412,8.2489151053968985,4.6800586290086779,9.663342367216595,15.63886195010719,4.8022742089196457,1.6572819551889246,0.0009768690627973821,0.00014809121174697454,1.1864575408593367,0.00072369097759406031,-0.00070040171260288275,7.7196650682441952,8.2501783567602995,4.6799626213406027,7.4382861085976053,15.63923646840772,4.8021001516405946,2.8084128668432893,0.002294468119227532,5.0703721612243835e-05,0.19917684704273597,-0.0016835471066869445,-0.00023851061335022905,1.6214384660752892,0.93691934622804307,2.8084128668432893,1,1,1,1,2,2,2,2,1.7506142348127163e-14,4.4945219581794115e-15,6.1385773852526399e-15,1.114011089968537e-14,1.5729879991392632e-11,1.5732811199610286e-11,1.5735021316216437e-11,1.5736986302712875e-11,1.6156767987800818e-07,9.6963106825152661e-10,9.2217016800150113e-08,2.1089203212899524e-08,12.012837480658993,8.1739782674660262,4.6816604113559173,8.2204970397259469,15.614828462560787,4.8045134419057414,4.076794395803236,0.077719846785777702,0.0029004035590418776,0.26686636495406191,0.065942136369688598,0.013901365826995971,2.3541666135158374,1.3858048820493518,4.076794395803236,2,2,2,2,3,3,3,3,8.552186736565659e-16,8.1250110806063702e-16,8.1878948066105295e-16,7.5677311639488209e-16,1.5696732102387371e-11,1.5701599094153943e-11,1.5706409676930914e-11,1.5710929402232932e-11,11.343989341817991,8.2768740353441448,4.678096170076838,9.5556936286157192,15.644295194877548,4.7982316524574165,2.9800717783478037,0.02945436402340515,0.0043458970275990346,-0.77162686927512425,-0.0072513682016719372,-0.020281111433810395,1.7206311100374418,1.004624013132936,2.9800717783478037
1,,4608,92.159999999999997,8.4142655962425508,8.3315619567251975,4.6078048792663786,10.141824487619385,15.652365098739196,4.8654057593612849,6.8420104990216348,8.3324165805167798,4.607875788906771,9.6797311060530671,15.652698122028211,4.8655419417867467,1.638754522198046,0.00091721662444846038,0.00015353771557822496,1.1780585405147193,0.0007292582744113929,-0.0007102983219127168,7.727806949314914,8.3335700495214695,4.6077817875742513,7.4526025264050766,15.653143339728615,4.8653584182911205,2.7754531577057917,0.0021536238566777282,5.2672603596757293e-05,0.13169583578556399,-0.0016967705704047376,-0.00024186758715671886,1.6024091104218849,0.92588648472202195,2.7754531577057917,1,1,1,1,2,2,2,2,7.4335923691814603e-15,7.8832881267379906e-15,1.3131387754676671e-14,7.7647029583604145e-15,1.5739236468407721e-11,1.5742148841025733e-11,1.5745611482570071e-11,1.5749376750911409e-11,1.2935080835539991e-10,5.5493630387529847e-10,9.6053150175264717e-09,8.1055797299765714e-08,12.012760371225022,8.2608484469076888,4.6094333193409414,8.204572367710572,15.625194603116748,4.8679024230490713,4.0868215549088189,0.075753787384396531,0.0029807963107783683,0.32459429139437646,0.065296579133022448,0.014091677453791362,2.3599334696213408,1.3885187128679979,4.0868215549088189,2,2,2,2,3,3,3,3,8.7917954166849555e-16,4.8398784979752918e-16,8.4730399779742172e-16,7.6634120056706667e-16,1.571482846256079e-11,1.5717857935942823e-11,1.5720285629747866e-11,1.5722566514359481e-11,11.361658013192621,8.3582954717948024,4.6059473713151977,9.5738589508669367,15.658815905597955,4.8612781684266606,3.0016173824178973,0.027500795208607997,0.0045262945896498213,-0.69798289023390936,-0.0070341515188729886,-0.02057358840293233,1.7330593076515577,1.0112148240720518,3.0016173824178973
1,,4609,92.180000000000007,8.4035183389020833,8.4141719375442765,4.5377438776839494,10.125214371076964,15.666461471638202,4.9293211253566342,6.839524659354896,8.4150066102760359,4.5378152250754118,9.6993026700889811,15.666786012601346,4.9294621298346755,1.6209494152199908,0.00089554754530448983,0.0001580275706840153,1.1581997013716787,0.0007567711930995813,-0.00071256983220990833,7.740026110317956,8.4161332847562065,4.5377206132853658,7.4673541328944566,15.667220590729016,4.9292721517318796,2.7394238414497143,0.0021031273570052394,5.4218522323808549e-05,0.053954352545105166,-0.0017607301002051656,-0.0002427593371763237,1.5816075586975253,0.91386039577634781,2.7394238414497143,1,1,1,1,2,2,2,2,1.5624555472432748e-14,5.9002336003740725e-15,1.2775226348398448e-14,1.3569902008734865e-14,1.5753143339728615e-11,1.5756765533441235e-11,1.576026339007304e-11,1.5763708304901569e-11,6.882764105053705e-10,6.9686729412430859e-10,2.015257637280313e-09,6.2328818576641138e-10,12.010804357860806,8.3469398010321516,4.5393770400696329,8.1897404672171366,15.639200924278464,4.9319196378086181,4.0937234463380001,0.072548588010639584,0.0030691181699515372,0.36926963013763014,0.067421441417373273,0.014126418517125927,2.3638841181556929,1.3897803841728635,4.0937234463380001,2,2,2,2,3,3,3,3,8.5782075887053111e-16,8.0317696937726168e-16,8.8167320666521221e-16,7.9981594264255662e-16,1.5725194603116751e-11,1.5728340085822682e-11,1.5731867685263092e-11,1.5735555805117355e-11,11.379085028160423,8.4403723015204637,4.5358737508551323,9.592628061643854,15.672934856146101,4.9250585153318314,3.0228538335849815,0.026988215566646764,0.0046548059658172644,-0.62140591866069883,-0.0072799071490159406,-0.020649820296810617,1.7453170991940565,1.0181656183724817,3.0228538335849815
1,,4610,92.200000000000003,8.3929662378970917,8.497791417556039,4.4715671864394722,10.10688860280699,15.683806882429948,4.9910539392760143,6.8355830918053604,8.4985734853227495,4.4716470684566287,9.7221081411126882,15.68418545490008,4.9912033730956331,1.6042126627826674,0.00086887692273928817,0.00016944498549979477,1.1271071036042954,0.00080187931458297612,-0.0007054425026531419,7.7558426071461213,8.4996291245529818,4.4715409027254838,7.4825322223296382,15.684692230321712,4.9910021035109704,2.700587516192261,0.0020398548713237074,5.8118673064276908e-05,-0.032464070775169773,-0.0018662414490755452,-0.00024038045541274755,1.559185374589261,0.90089516324554975,2.700587516192261,1,1,1,1,2,2,2,2,1.0992231597788262e-14,1.0719400751884797e-14,1.1131720600350682e-14,3.9225086998220868e-15,1.5767220590729017e-11,1.5770963174297777e-11,1.5775092566572827e-11,1.5779730870416466e-11,3.9816793640775329e-09,6.8744705978613077e-10,1.0773375626027621e-08,7.7774952719024264e-09,12.00692020086505,8.4329913458283361,4.473346708961496,8.176080248393685,15.653683791772622,4.9938239462942597,4.0973996812520035,0.071459428255933835,0.0032923607468688001,0.40004040165997878,0.070430731675408254,0.01397985294860149,2.365995311171035,1.3907171567516021,4.0973996812520035,2,2,2,2,3,3,3,3,8.4047352411076304e-16,8.6909646146438035e-16,7.1307976884371627e-16,6.4878658001532585e-16,1.5739200924278465e-11,1.5742772545805908e-11,1.5746310808872575e-11,1.5749904948296088e-11,11.395969222265036,8.5227924179323029,4.469431464586064,9.6120431737608278,15.691565998559865,4.9865569609791534,3.0435010962328661,0.026177354773381512,0.0049783653579819984,-0.54267201657472697,-0.0081855381606530386,-0.020443369827749081,1.7572335227847233,1.0248856054547433,3.0435010962328661
1,,4611,92.219999999999999,8.3826241774704098,8.5825846140624424,4.4141254487401014,10.086960292758414,15.698897898545006,5.0508911065106004,6.8302804922232916,8.5833548791075245,4.4142088967083684,9.7481313732698833,15.699181797657495,5.0510544746545278,1.5888914229135889,0.00082091835510435902,0.00018344676028184869,1.0851717216425882,0.0008700220720996299,-0.0006946752339267448,7.7746642394132994,8.5843962421523656,4.4140978360050287,7.4980148502877331,15.699560082767004,5.0508345038242091,2.6593709388447708,0.0019288556918705974,6.2978784086434187e-05,-0.12579278844495434,-0.0020256057236593961,-0.00023681995930502353,1.5353889317067435,0.8871209244402426,2.6593709388447708,1,1,1,1,2,2,2,2,8.7788875066239607e-15,1.1714064604902109e-14,1.1156702783715437e-14,1.0390578285133513e-14,1.5784692230321714e-11,1.5789516983708814e-11,1.5793733317174297e-11,1.5797012332297607e-11,8.0292974420865486e-10,7.2098562870179886e-09,4.6760913863989504e-10,4.9947292118869855e-08,12.001063461395871,8.5209873841779213,4.4159376274623989,8.1636551215940365,15.672002462669354,5.053944197010404,4.0978293806456412,0.067212968989532301,0.0035504018535288838,0.41634341021821797,0.075973214392302424,0.013763124954042638,2.3662020075384063,1.3895309171629009,4.0978293806456412,2,2,2,2,3,3,3,3,7.4679845640801545e-16,8.8329950992394046e-16,8.6736173798840355e-16,8.5001450322863548e-16,1.5753683791772623e-11,1.5757786764513581e-11,1.5762349224923299e-11,1.5767243225134228e-11,11.411861088268548,8.607677455982671,4.4118230456312642,9.6323188392400532,15.703687266515848,5.0460070702444177,3.0631642321297656,0.025545816902062563,0.0053995250092002522,-0.46258636616649085,-0.0097193576041085805,-0.020122300247273017,1.7685829409097231,1.0313698580136761,3.0631642321297656
1,,4612,92.239999999999995,8.3724473391467562,8.6713973708271013,4.3560022707136001,10.065614083648068,15.708260462328731,5.1090658532732691,6.8238629150466785,8.6721856670671933,4.3560538214562197,9.7772126571689508,15.708550247319865,5.109239822316038,1.5752108117203103,0.00083987278990908538,0.00018144615429038056,1.0329261373311454,0.00090757119049911239,-0.00069060369781581699,7.7958914446675989,8.6732523181084638,4.3559856163308082,7.5135558312083699,15.708936981792789,5.1090056075681449,2.6163749775795186,0.001974463978370648,6.2505307392252683e-05,-0.22412920272505943,-0.0021114118461760256,-0.00023559692234798035,1.5105652281755486,0.87280398228842715,2.6163749775795186,1,1,1,1,2,2,2,2,6.2327271972235665e-15,6.0965338285598253e-15,5.8183237716472027e-15,7.0789178139796935e-15,1.5799560082767005e-11,1.5801741154193255e-11,1.5803944594681838e-11,1.5806348725389527e-11,3.7793080884747844e-10,5.1727002380760459e-08,6.2074684295581719e-09,1.2595931985624711e-09,11.993160374447749,8.6101595931348509,4.3571909925341235,8.1525218946972888,15.683759187732669,5.1123348276410265,4.0950561177379496,0.065957394380896525,0.0034783980484750956,0.41791145536520702,0.080926459628820169,0.013667148718049305,2.3645892585217632,1.388163970055774,4.0950561177379496,2,2,2,2,3,3,3,3,8.4410560138858948e-16,8.3418515151034711e-16,8.2572837456496018e-16,8.309325449928906e-16,1.5772002462669355e-11,1.5776109008643568e-11,1.5779221917426834e-11,1.5781622969329994e-11,11.426265637518455,8.6974203995586183,4.354602750605995,9.653738414846579,15.713522115584189,5.1038972246181959,3.0814684431323469,0.026549633130083579,0.0053547529079912993,-0.38199830132158752,-0.010222549254219615,-0.020007495240268014,1.7791553541328291,1.0377909430568073,3.0814684431323469
1,,4613,92.260000000000005,8.3624118478233953,8.7661140350081954,4.2921192859240715,10.043099482881725,15.719019013936869,5.1693062881783041,6.8165806241720048,8.7669267505084267,4.2921533831094827,9.8090037914585206,15.719291884667857,5.169491689577848,1.5634560962043238,0.00085730095074391965,0.00018851073445864592,0.97101199204745825,0.00091389865261248815,-0.00068866705897363545,7.8189751313324143,8.7680257433518598,4.2921085887806072,7.5288284308137712,15.719655753493253,5.169242019570544,2.5723301475699802,0.0020149605588944907,6.5152765265323863e-05,-0.32547961584538854,-0.0021251962924040413,-0.00023505677496515887,1.4851359592540492,0.85813675363138009,2.5723301475699802,1,1,1,1,2,2,2,2,3.8366050395701828e-15,4.6874856691425618e-15,6.9581765535303715e-15,1.4769159375979415e-14,1.580893698179279e-11,1.5811660352200125e-11,1.581442157592077e-11,1.5817107390739517e-11,2.1174507190080957e-08,1.5039059717452749e-09,3.0109169228030493e-09,9.3900918117089595e-08,11.983151041798839,8.7029626316455726,4.2929632930613391,8.1427679021091972,15.69457143121774,5.1727927333401027,4.0891334568183719,0.067718417343270165,0.0035871503890945824,0.40478506750192622,0.082672969309509625,0.013623216856984754,2.3611869246466393,1.386813008183579,4.0891334568183719,2,2,2,2,3,3,3,3,8.4654505627668186e-16,5.9674487573602164e-16,8.077306185017008e-16,8.7863744058225279e-16,1.5783759187732671e-11,1.5786077495202658e-11,1.578869799036319e-11,1.5791560102071849e-11,11.438848075266257,8.792791205815039,4.2912281983755269,9.6764601687862797,15.723881601204639,5.1638256306585024,3.0982066180555563,0.027116714351008406,0.0055526249529858776,-0.30179601782292309,-0.01004662875667961,-0.019959970545301076,1.7888218092741295,1.0436253191198503,3.0982066180555563
1,,4614,92.280000000000001,8.352529993669835,8.8614104884819618,4.233637214713978,10.019688946152302,15.731354039549297,5.2405710684611755,6.8086864398509626,8.8622008415256701,4.2336642994619451,9.8430156597629264,15.731677138067356,5.2407719933663257,1.5539196790026528,0.00085384459128764892,0.00020274220350577203,0.90020242531885941,0.0008952294280533124,-0.0006804132178075406,7.843325520226518,8.8632702644034218,4.2336288537617026,7.5436319819084217,15.732109114474,5.240501374057998,2.5278740644967472,0.0020072131476147025,7.0194126229306859e-05,-0.4277871494965666,-0.0020806680029785696,-0.00023217521485463521,1.4594692322652938,0.84331715725686374,2.5278740644967472,1,1,1,1,2,2,2,2,8.3293923767877708e-15,1.2098596875892225e-14,1.2348134662438272e-14,1.7797741246064403e-14,1.5819655753493255e-11,1.5822167633786351e-11,1.5824947977031459e-11,1.5828247824116288e-11,2.3888762439117449e-09,1.9306578839175003e-08,1.2944819508685868e-08,1.4243153039817923e-07,11.97103183500395,8.7996139995008509,4.2343319121769749,8.1344912764719375,15.705331241427551,5.2443404409648391,4.0801379669695805,0.067052159342393267,0.0038328545023871611,0.37733026955527293,0.082083737981900384,0.01347318197133518,2.3559878686977411,1.3836743269381202,4.0801379669695805,2,2,2,2,3,3,3,3,7.4463005206304445e-16,8.2735467782368843e-16,7.6934986159571395e-16,7.6045940378133281e-16,1.5794571431217742e-11,1.5797567049289832e-11,1.5800372650103242e-11,1.5802884850954126e-11,11.449507667240102,8.8876482594492519,4.2329361703927892,9.7004921114721601,15.737813844384661,5.2346242476234188,3.1133835821919735,0.02702128242409978,0.0059879997675892672,-0.22286598343377761,-0.0092436647452274201,-0.019706022535984857,1.797583872471378,1.0487976214612209,3.1133835821919735
1,,4615,92.299999999999997,8.3428386907736733,8.9575253215749395,4.1773191180734175,9.9956571337958504,15.747251628501409,5.3116236585442378,6.8007003937026065,8.9583231204844456,4.1773521349787339,9.878744706290389,15.747562417499461,5.3118328676688078,1.5465636239736362,0.00085619676553870647,0.00021179842737854219,0.82155477863066295,0.00089252631649472391,-0.00066623064465787252,7.8682898450680954,8.9594020920043516,4.1773087684199695,7.5579234130736417,15.747977937046919,5.3115512388686774,2.4834939702174919,0.0020124093390747728,7.3155483286455194e-05,-0.52896226231901977,-0.0020747527161084633,-0.00022703256117395654,1.4338463835955038,0.82852651167995095,2.4834939702174919,1,1,1,1,2,2,2,2,1.6267274846436759e-14,1.8470178412698529e-14,9.643425837092548e-15,9.1333931841407302e-15,1.5832109114474001e-11,1.5836238957512434e-11,1.5840328218172595e-11,1.5844192943318835e-11,1.6281699208215457e-09,2.5244671595624337e-08,1.2875777396489484e-08,1.9107729708776905e-08,11.956873704834083,8.8947136823503641,4.1781349811335717,8.127780029869152,15.720214919189432,5.3155765088563856,4.0681954179006956,0.068383372778026738,0.004036168743148741,0.33624582996740315,0.081249438726420209,0.013208927021384653,2.3491066766297095,1.380204986473957,4.0681954179006956,2,2,2,2,3,3,3,3,8.5348395018058909e-16,8.1098322501915732e-16,7.9797279894933126e-16,7.1134504536773946e-16,1.5805331241427552e-11,1.5808150939743605e-11,1.5811684723668308e-11,1.5815850733141824e-11,11.458200015429485,8.983934194692786,4.1764814211546657,9.7257325291426433,15.753483899602404,5.3054485116867163,3.1270330147535064,0.027134291633112661,0.0062317072170997908,-0.14606468606715595,-0.0092468544561050692,-0.019280687401408869,1.8054649059005712,1.0534663378679061,3.1270330147535064
