particle,best_q,rms_over_L,p95_over_L,max_over_L,first_half_rms,second_half_rms,first_half_best_q,second_half_best_q,overlap_pairs,record_repetitions,closest_initial_return,closest_initial_distance_over_L,peak_frequency,oscillation_cycles,first_half_frequency,second_half_frequency
1,149,8.640325455147561e-05,0.0001413811550082722,0.00017731086150400834,8.501824055430226e-05,8.807141815276273e-05,149,149,4852,33.557046979865774,1890,4.714097498213873e-06,0.12760000000000002,7.836990595611284,0.12760000000000002,0.12760000000000002
3,835,3.062392941401283e-05,4.6161091496921565e-05,5.296222164902285e-05,3.062074978678926e-05,3.0611409875343154e-05,835,835,4166,5.9880239520958085,2574,4.67403763933569e-06,0.14500000000000002,6.896551724137931,0.1448,0.1448
