cycle,distance,fraction,dx,dy
1,0.2316024404869657,0.01228689107855462,0.07720064526782622,0.21835693442102944
2,0.3547820678376574,0.018821773272250996,-0.0771998120234123,0.34628096205641157
3,0.40070218429406956,0.021257911112716597,-0.29910578218660433,0.266642028871253
4,0.4180013159445811,0.02217565855050914,-0.40591124876385365,-0.09980560233960034
5,0.4703874456513179,0.024954829047937183,-0.34921636782449816,-0.31513850521609754
6,0.3284760658847744,0.017426196524321567,-0.20817250875559523,-0.2540880407605606
7,0.05597286650905901,0.002969452794647864,-0.031835041724921354,-0.046037939828075025
8,0.20042309217183607,0.010632775276308255,0.08369239840592435,0.18211259792991896
9,0.3365651326579526,0.017855334844972336,-0.034520070585596585,0.33479016300935527
10,0.4103686905779531,0.021770735198553142,-0.2656305986551093,0.31279841314302104
11,0.40680376414828656,0.0215816099775396,-0.4053349027156088,-0.034538661898555034
12,0.49115451317927067,0.02605655619813664,-0.3778430764720184,-0.313795100947301
13,0.39355819390275615,0.020878910651323582,-0.24486186299857948,-0.3081082927103136
14,0.13034946903079603,0.006915254108554849,-0.06902040373429585,-0.11057652528889328
15,0.15795608463875252,0.008379830553903563,0.08691980965648582,0.13189037631186373
16,0.31699449683565856,0.01681708036811539,0.022462220799138066,0.3161976591641107
17,0.41440357934881367,0.021984792696122718,-0.21185978723408994,0.3561541199119205
18,0.3923729504572445,0.020816031533616736,-0.38708723339845363,0.06418727280742154
19,0.4868086235250389,0.025825999591268897,-0.39747529061643405,-0.2810623227821978
20,0.4388486304464995,0.023281642934900197,-0.2817429452441722,-0.3364655008316717
21,0.2018204019975022,0.010706904864903503,-0.11260216129172562,-0.16748799340509635
22,0.09952697634422546,0.005280070085393606,0.0649779767527221,0.07538886892205454
23,0.2893101300318162,0.015348379093714495,0.06441651229123835,0.2820476276859267
24,0.3978696214464244,0.0211076389864428,-0.1486990668577981,0.3690376988676647
25,0.38827059504031414,0.020598394819308544,-0.35100671188484966,0.16597693570115624
26,0.4528966969026723,0.024026916007361652,-0.40176796133286174,-0.20904048247118823
27,0.44740390613077063,0.02373551440645562,-0.3073235283814668,-0.32514997174263627
28,0.24596122725476585,0.013048648375520932,-0.15024793022620386,-0.19473696304351762
29,0.04294043105319662,0.002278060620205357,0.027710465487182034,0.03280260235892918
30,0.2565005982530687,0.013607779372674272,0.0727936190531846,0.24595456070039035
31,0.37246522758651157,0.01975989403342268,-0.10769788780984157,0.3565550598748679
32,0.394048850592445,0.02090494079716529,-0.3223907335315914,0.22658047485648325
33,0.4304886849427415,0.022838134051266012,-0.4043557524797734,-0.14770556286154957
34,0.45722329687406355,0.024256449264771145,-0.32921884812310154,-0.31728235570999885
35,0.28727342508019055,0.015240328540157458,-0.181854603306828,-0.22238463079408177
36,0.00857579243722215,0.00045495991910487273,-0.004620094305000322,-0.00722488370420038
37,0.22732620684499893,0.012060029837909561,0.07928779271435182,0.2130508161097282
38,0.35228070228551345,0.018689071708216435,-0.07018885703749334,0.34521763794821503
39,0.4030713266985272,0.021383598020902672,-0.29445092724172817,0.27525469269932046
40,0.4167796613088643,0.022110847759167288,-0.4068094199807071,-0.09061667559391218
41,0.47539868856982814,0.02522068374177569,-0.3546164416251649,-0.3166245290924543
42,0.3404969529461189,0.01806392438970932,-0.21453261632619558,-0.2644124268975059
43,0.06866694273703304,0.003642894454537299,-0.03795966001248274,-0.05722074131455912
44,0.19392844855074853,0.010288223731002655,0.08572221253653645,0.1739538600754269
45,0.33356051464850384,0.017695934908870028,-0.024139964175988737,0.3326858564203725
46,0.4126726357626202,0.021892963286804044,-0.2574535093539083,0.32251572803295225
47,0.4049652282869388,0.021484072620744483,-0.40451809660607907,-0.019024868979505172
48,0.4954030807212472,0.02628194970659186,-0.3841642487040815,-0.31279712659442893
49,0.4086967491007175,0.021682035948332297,-0.253807803410492,-0.320335186411727
50,0.14901442706828538,0.007905460886645043,-0.0782978195322741,-0.1267862410949263
