schema_version,metadata_json,sample_index,time,reference.dop853.x.particle_1,reference.dop853.x.particle_2,reference.dop853.x.particle_3,reference.dop853.y.particle_1,reference.dop853.y.particle_2,reference.dop853.y.particle_3,reference.radau.x.particle_1,reference.radau.x.particle_2,reference.radau.x.particle_3,reference.radau.y.particle_1,reference.radau.y.particle_2,reference.radau.y.particle_3,reference.audit_distance.particle_1,reference.audit_distance.particle_2,reference.audit_distance.particle_3,reference.energy_error.particle_1,reference.energy_error.particle_2,reference.energy_error.particle_3,ABBA4ImplicitSingleProjection.x.particle_1,ABBA4ImplicitSingleProjection.x.particle_2,ABBA4ImplicitSingleProjection.x.particle_3,ABBA4ImplicitSingleProjection.y.particle_1,ABBA4ImplicitSingleProjection.y.particle_2,ABBA4ImplicitSingleProjection.y.particle_3,ABBA4ImplicitSingleProjection.distance.particle_1,ABBA4ImplicitSingleProjection.distance.particle_2,ABBA4ImplicitSingleProjection.distance.particle_3,ABBA4ImplicitSingleProjection.energy_error.particle_1,ABBA4ImplicitSingleProjection.energy_error.particle_2,ABBA4ImplicitSingleProjection.energy_error.particle_3,ABBA4ImplicitSingleProjection.rms_distance,ABBA4ImplicitSingleProjection.mean_distance,ABBA4ImplicitSingleProjection.maximum_distance,ABBA4ImplicitSingleProjection.diagnostic.nonlinear_iterations,ABBA4ImplicitSingleProjection.diagnostic.residual_evaluations,ABBA4ImplicitSingleProjection.diagnostic.nonlinear_residual_norms,ABBA4ImplicitSingleProjection.diagnostic.nonlinear_tolerances,ABBA4ImplicitSingleProjection.diagnostic.projection_multiplier_norms,GaussLegendre4.x.particle_1,GaussLegendre4.x.particle_2,GaussLegendre4.x.particle_3,GaussLegendre4.y.particle_1,GaussLegendre4.y.particle_2,GaussLegendre4.y.particle_3,GaussLegendre4.distance.particle_1,GaussLegendre4.distance.particle_2,GaussLegendre4.distance.particle_3,GaussLegendre4.energy_error.particle_1,GaussLegendre4.energy_error.particle_2,GaussLegendre4.energy_error.particle_3,GaussLegendre4.rms_distance,GaussLegendre4.mean_distance,GaussLegendre4.maximum_distance,GaussLegendre4.diagnostic.nonlinear_iterations,GaussLegendre4.diagnostic.residual_evaluations,GaussLegendre4.diagnostic.nonlinear_residual_norms,GaussLegendre4.diagnostic.nonlinear_tolerances,BM4Implicit.x.particle_1,BM4Implicit.x.particle_2,BM4Implicit.x.particle_3,BM4Implicit.y.particle_1,BM4Implicit.y.particle_2,BM4Implicit.y.particle_3,BM4Implicit.distance.particle_1,BM4Implicit.distance.particle_2,BM4Implicit.distance.particle_3,BM4Implicit.energy_error.particle_1,BM4Implicit.energy_error.particle_2,BM4Implicit.energy_error.particle_3,BM4Implicit.rms_distance,BM4Implicit.mean_distance,BM4Implicit.maximum_distance,BM4Implicit.diagnostic.nonlinear_iterations,BM4Implicit.diagnostic.residual_evaluations,BM4Implicit.diagnostic.nonlinear_residual_norms,BM4Implicit.diagnostic.nonlinear_tolerances,BM4Implicit.diagnostic.projection_multiplier_norms,SDIRK4.x.particle_1,SDIRK4.x.particle_2,SDIRK4.x.particle_3,SDIRK4.y.particle_1,SDIRK4.y.particle_2,SDIRK4.y.particle_3,SDIRK4.distance.particle_1,SDIRK4.distance.particle_2,SDIRK4.distance.particle_3,SDIRK4.energy_error.particle_1,SDIRK4.energy_error.particle_2,SDIRK4.energy_error.particle_3,SDIRK4.rms_distance,SDIRK4.mean_distance,SDIRK4.maximum_distance,SDIRK4.diagnostic.nonlinear_iterations,SDIRK4.diagnostic.residual_evaluations,SDIRK4.diagnostic.nonlinear_residual_norms,SDIRK4.diagnostic.nonlinear_tolerances,RK4.x.particle_1,RK4.x.particle_2,RK4.x.particle_3,RK4.y.particle_1,RK4.y.particle_2,RK4.y.particle_3,RK4.distance.particle_1,RK4.distance.particle_2,RK4.distance.particle_3,RK4.energy_error.particle_1,RK4.energy_error.particle_2,RK4.energy_error.particle_3,RK4.rms_distance,RK4.mean_distance,RK4.maximum_distance
1,,2156,43.119999999999997,10.227159218660649,8.8703585091991108,15.541828785023295,6.6381476992601387,3.2120523391001887,10.485511177621476,10.227977313772614,8.8703660199240026,15.541853736813225,6.6399824234888971,3.2120875968257234,10.485523401958316,0.0020088535555911496,3.6048830748626213e-05,2.7785360028505925e-05,-0.0028427772590902123,-0.00012595539729076677,8.1463979018536747e-05,11.528451058683256,8.8680462658866652,15.551947284690131,7.1744414940182821,3.1484677667669136,10.466855872286304,1.4074698885608576,0.063626600631664934,0.021222734335052885,1.1477352212893948,-0.21771501154877271,-0.019539083083142117,0.81352529892358205,0.49743974117585849,1.4074698885608576,2,3,2.3047427681610611e-15,1.5642265416698269e-11,6.1584633519642425e-05,10.384589593088849,8.873841586105085,15.57512113830261,6.7610076878275693,3.1841012275146476,10.466152068239024,0.19969701946547047,0.028167294218654992,0.038511763176416608,0.2387328594798106,-0.096604579184500494,-0.086055585497646803,0.11854036155103341,0.088792025620180695,0.19969701946547047,2,3,1.8150758673840528e-13,1.5664220327243052e-11,10.22740094881167,8.8699140886797814,15.542381354302659,6.6386981003039587,3.2100713471381219,10.485737072614016,0.00060114455412314186,0.0020302312064831123,0.00059696009594601437,0.00085127955096453434,-0.007084244137484319,-0.0017801670878299092,0.0012701148088370671,0.0010761119521840894,0.0020302312064831123,1,2,3.7130142689275074e-12,1.5632632197944246e-11,7.6621420596941275e-06,10.105701576967736,8.8623169597947786,15.491771858384636,6.5844354575036705,3.1426967250580593,10.477835488887058,0.13280423050531717,0.069820252906897112,0.050641999388410179,-0.11275029077835796,-0.23732114566434959,0.1585401689503847,0.091426552412575468,0.08442216093354149,0.13280423050531717,10,15,3.1115531158587562e-12,1.558366447442833e-11,10.119010167353233,8.8774854993130941,15.489883078140309,6.583006329607092,3.1549717247983255,10.475874102914416,0.12139517266311733,0.057523825647838582,0.052832089419996751,-0.11056352642967937,-0.19430796671204931,0.16555562997256956,0.083340682613702213,0.077250362576984227,0.12139517266311733
1,,2157,43.140000000000001,10.199565631907452,8.8020286760602442,15.55652085848015,6.6447576136673003,3.2166913443340568,10.427128047567557,10.200400875844103,8.8020369979281501,15.556545722055077,6.6466515282663501,3.216728509814474,10.427141744361075,0.0020699142354710497,3.8085777136856005e-05,2.8386607948512715e-05,-0.0028412637925399054,-0.00012506569512638066,8.3963220586014131e-05,11.501008958895055,8.8034668213794163,15.568714962696749,7.1618904194612671,3.1518060678511191,10.40992282909315,1.4004217479705532,0.064901212363301708,0.0210882839604686,1.1564117796964126,-0.21655531452851307,-0.01656270400892268,0.80949324791821109,0.49547041476477455,1.4004217479705532,2,3,2.6399836914868546e-15,1.5651947284690133e-11,4.2750807141082184e-05,10.357744268482794,8.8056822888797033,15.592616863663332,6.7706950677807072,3.187805515720977,10.409541865357768,0.20218982026155605,0.029115974675402972,0.040152153054353226,0.22963012786897963,-0.096357873439806951,-0.083489730059149281,0.12019520067179507,0.090485982663770739,0.20218982026155605,2,3,8.4801089761388226e-13,1.567512113830261e-11,10.1998125382278,8.8015453527237497,15.557075647432747,6.6453257513702422,3.2146041835245858,10.427388219240825,0.00061947008041674336,0.0021423915823649471,0.0006127642952185521,0.0008512781760288135,-0.0070299772443540576,-0.0018285562675615097,0.0013352983379772473,0.0011248753193334141,0.0021423915823649471,1,2,3.6199641731492083e-15,1.5642381354302661e-11,1.6868740305784564e-07,10.079840270136602,8.798473133445686,15.505776975815689,6.5889361519311187,3.1462063345223661,10.41518458153384,0.13209919697532235,0.070574630650383663,0.052130490202597995,-0.10090095113013575,-0.23574804248323744,0.16106640536332506,0.091557931281650407,0.084934772609434675,0.13209919697532235,10,15,5.2900444441617012e-12,1.5591771858384637e-11,10.092858858006743,8.8122051177103558,15.503950640928176,6.5877339353135236,3.158335100713638,10.413195238676929,0.1209877493355921,0.059236906858342112,0.054385208807585114,-0.10045760345774113,-0.19383495604859746,0.16845408731991895,0.083874504589655854,0.078203288333839771,0.1209877493355921
1,,2158,43.160000000000004,10.171810813553359,8.7364345899738289,15.580953035656684,6.6485261339145074,3.2203648429263652,10.370821559843426,10.172670652913997,8.7364451950894981,15.580976675124477,6.6504815236464019,3.2204025329166015,10.370834858254319,0.0021360881839702396,3.9153592968880069e-05,2.7123277269300778e-05,-0.0028184640526092153,-0.00012518331576671926,8.6602594972617908e-05,11.472204314802628,8.7368822966455966,15.594853043823022,7.150613373256979,3.1551406710525556,10.35301527986571,1.3939565466691846,0.065225708412314357,0.022589241547008105,1.1393895401714644,-0.21666570370327776,-0.014136916352391893,0.80578730048597724,0.49392383220950237,1.3939565466691846,2,3,2.7664875327636923e-15,1.566871496269675e-11,4.0243648325758416e-05,10.330059747127903,8.7387663699478999,15.618084981340377,6.7784000258574917,3.190909357161253,10.349404994707339,0.20471920473150221,0.02954763678378023,0.042865494893737713,0.21652205276161141,-0.096836924378560951,-0.080835871951421723,0.12195691353628403,0.092377445469673372,0.20471920473150221,2,3,4.0530565015295394e-12,1.5692616863663333e-11,10.172065259983487,8.7358264428409775,15.581485318230854,6.6491125730118856,3.2182494141592475,10.37107286641532,0.00063926035442525087,0.0022011092212664948,0.00058862528984237705,0.00084496242954656964,-0.0070353159249876285,-0.0018805733948070724,0.0013662619729913092,0.0011429982885113744,0.0022011092212664948,1,2,2.5848383526096922e-14,1.5657075647432749e-11,1.1184388577044879e-06,10.053029556184645,8.7319133391354864,15.529083207886295,6.5903791613780038,3.1497481552641524,10.356781574801769,0.13224998116163722,0.070761276737532949,0.053736395607630688,-0.088037119831319899,-0.23537812757222909,0.16483018893297441,0.091986984614996686,0.08558255116893361,0.13224998116163722,10,15,1.0864219246453644e-11,1.5605776975815691e-11,10.065837685701567,8.7454831934163604,15.52727235544784,6.5894169169340513,3.1613133626620571,10.354845650778959,0.12134332844757011,0.059740727696155571,0.056007545010652728,-0.08935477818441484,-0.19468199300612454,0.17259433039604843,0.084518248527603743,0.079030533718126142,0.12134332844757011
1,,2159,43.18,10.143814793167556,8.6702740456678455,15.610808489276934,6.6492650772875583,3.2224104658906518,10.310236687852644,10.144712415909961,8.6702858559613265,15.610831905804261,6.6512608008842209,3.2224477929912148,10.310245460710833,0.0021882959722028072,3.9150931898332471e-05,2.5005935152730391e-05,-0.0027770636038155772,-0.00012527874661572014,8.9099345522924978e-05,11.442407510747142,8.6711470597527089,15.622187393428172,7.1405833134587251,3.1568660066838294,10.28862402318388,1.3884295644162443,0.065550272968975754,0.024425125051215007,1.096936440395595,-0.21739055448725964,-0.010966793395837726,0.80262695368918779,0.49280165414547844,1.3884295644162443,2,3,3.8443979445169918e-15,1.5694853043823024e-11,7.4186702206400948e-05,10.301601336072865,8.6722731552676002,15.643928307145062,6.783577356265023,3.1932243642390317,10.27987957719559,0.2072109587018251,0.029254486302283805,0.044927458230602978,0.20001809924301028,-0.097678610592293325,-0.078392377846732586,0.1235727624762061,0.09379763441157063,0.2072109587018251,2,3,2.0273435707984788e-12,1.571808498134038e-11,10.144080791716718,8.6696014666544201,15.611333091311629,6.6498634465019277,3.2203132357418442,10.310384489524342,0.00065482894320688769,0.0022024388360106181,0.00054502534708245759,0.00083309116389074234,-0.007040652764754185,-0.0019307648456994286,0.0013634014327154481,0.0011340977087666545,0.0022024388360106181,1,2,1.0145747936717801e-13,1.5681485318230856e-11,5.0417061189160635e-06,10.025174766621289,8.6665891991433348,15.558367552574397,6.5887362596898038,3.1512846131146115,10.301764890722202,0.13318856429394035,0.071221239999231717,0.053120835731931222,-0.074543037354374064,-0.23550515111159598,0.16872514752487433,0.092436431985388506,0.085843546675034424,0.13318856429394035,10,15,3.8413890124378014e-13,1.5629083207886297e-11,10.037869569315196,8.6793657092093142,15.556392888697809,6.5879504479138102,3.1633400431809924,10.299873648501078,0.12240863626544678,0.05976598685748543,0.055393593230525645,-0.077637158263542005,-0.19612143606988042,0.17687385498356534,0.084900525299522356,0.07918940545115262,0.12240863626544678
1,,2160,43.200000000000003,10.115290838308834,8.6030461829466169,15.634289248448445,6.646815439707618,3.2242954288081744,10.240271712529399,10.116237480935881,8.6030579485032757,15.634313210142746,6.6488338814690415,3.2243322325708039,10.240275708907173,0.0022294033748072152,3.86386499140077e-05,2.4292670275647008e-05,-0.0027164980463112443,-0.00012560072637768371,9.1355919416002962e-05,11.411818799206385,8.6067347265858594,15.643535537527905,7.1325143674031084,3.1575166942093933,10.216984810368682,1.3845173172458738,0.066880525930894455,0.025055412069725055,1.0301211907493908,-0.21852708660858156,-0.0095902621325336668,0.80041426361113954,0.49215108508216443,1.3845173172458738,2,3,2.8685926958739883e-15,1.5722187393428174e-11,1.6397658026404279e-05,10.272668238934711,8.60552731827865,15.665190100206297,6.7856642238758944,3.1944832077889891,10.206800762877624,0.2098728927059581,0.029915289646476651,0.045554002128819181,0.18095524313394407,-0.098286716179060818,-0.078256394265096674,0.12518882106289372,0.095114061493751303,0.2098728927059581,2,3,3.6737973774236821e-14,1.5743928307145065e-11,10.115571691239545,8.6023796084291124,15.634820225227873,6.6474205495370056,3.2222229587935809,10.240312900496782,0.00066711039139659466,0.0021770286054096878,0.00053257186270896906,0.00081544968293201237,-0.0070707363008857271,-0.0019751767500082451,0.0013500768634946516,0.0011255702865050838,0.0021770286054096878,1,2,2.1977558285974494e-14,1.5711333091311631e-11,9.2553073455266906e-07,9.9961047366168003,8.6025703750253069,15.58333822638731,6.5839866827721361,3.1519416383727412,10.241989313649583,0.13473225127860627,0.072355354905856414,0.050979964718331147,-0.060608399366095966,-0.23667173135536856,0.17289700625968507,0.093071717366835324,0.086022523634264617,0.13473225127860627,12,17,2.101305240920226e-13,1.56583675525744e-11,10.008805389104367,8.6143487151431426,15.581330595826635,6.5833584248852244,3.1638474188200418,10.240190644661304,0.12395944345811874,0.061495602652375268,0.052958714670172165,-0.06550204300349094,-0.19756967686045357,0.18142702887734785,0.085541955062105962,0.079471253593555391,0.12395944345811874
1,,2161,43.219999999999999,10.086047606557164,8.5389385059140821,15.656076631391434,6.6410028847795761,3.2327019457315362,10.166096028351406,10.087047458460022,8.5389486439618949,15.656100423613289,6.6430384415688035,3.2327415352413502,10.166099778713559,0.0022678613868175657,4.0866970780823429e-05,2.4085992548914905e-05,-0.0026362281925571551,-0.0001272116110513366,9.3978380345305368e-05,11.380973042038603,8.5432557994075449,15.666519015216517,7.1267670250664494,3.1611687963947288,10.143104056041079,1.3830396536055785,0.071663313328025918,0.025252211203560512,0.94074720782484178,-0.22061058562014324,-0.0094738662357514158,0.79970244218151931,0.49331839271238831,1.3830396536055785,2,3,9.3110266133518416e-16,1.5743535537527906e-11,4.8535858290557979e-05,10.243590930011555,8.5416844636512881,15.688985540182275,6.7841528036498557,3.2002195624117409,10.135303371947256,0.21286568074168788,0.03259824397154916,0.045068658358419625,0.16015758361748311,-0.099197906253483126,-0.079493594153980496,0.12702444320402639,0.096844194357218874,0.21286568074168788,2,3,4.0429465331115466e-13,1.5765190100206297e-11,10.086344457191117,8.5383639554839057,15.656606813764215,6.641613133631239,3.2304709726324887,10.166133071053828,0.00067861915669554889,0.0023037684704608602,0.00053147484438180383,0.00079189092082287971,-0.0071596842932315496,-0.0020368510273733875,0.00142013363638009,0.0011712874905127377,0.0023037684704608602,1,2,8.0840696372217152e-15,1.5734820225227875e-11,5.2875802716783769e-07,9.9655892906881274,8.5391356507515095,15.607015635813806,6.5760378151986396,3.1558180513820324,10.172278403026231,0.13686002384794643,0.076884147107401282,0.049448994364779321,-0.04637221368481903,-0.23889694106794934,0.17856762382549363,0.095021122647863512,0.087731055106709019,0.13686002384794643,11,16,8.1654596278957214e-12,1.5683338226387313e-11,9.9784181801995544,8.5505698058880704,15.605244011578549,6.575631216455168,3.1672692418132247,10.170525623252868,0.1259267582270924,0.066458452292739459,0.051025254022223007,-0.053068278747090858,-0.19927272550496156,0.18748808649282722,0.087326687151872986,0.081136821514018298,0.1259267582270924
1,,2162,43.240000000000002,10.056047005761348,8.4773554161056115,15.685590651490287,6.6317515889068614,3.241195407706706,10.09197243305289,10.057098942084636,8.4773635212303713,15.685614037105919,6.6338037360570343,3.2412361308216622,10.091980545558462,0.0023060524612892844,4.1521863387159297e-05,2.4752772878332178e-05,-0.0025384871867757397,-0.00013089357538831337,9.7451230466560901e-05,11.350432666957655,8.4780255606996135,15.698741790328153,7.1232509988923951,3.1705544030119954,10.071912225395334,1.3845598253332092,0.070644183327822477,0.023986754344785834,0.83117900380418064,-0.22500580794981317,-0.0096317368102312173,0.80053562797016908,0.49306358766860581,1.3845598253332092,2,3,5.4427762210401687e-15,1.5766519015216518e-11,8.5569080327253753e-05,10.214629194942473,8.480062905835771,15.722061808149959,6.7786342219945057,3.2081837719269486,10.0683318411883,0.21615461741132816,0.033122478734151348,0.043462890513660916,0.13835698053066636,-0.10167832242358443,-0.080442371863373552,0.12872313969334137,0.097579995553046806,0.21615461741132816,2,3,1.4999973485529949e-11,1.5788985540182276e-11,10.056359412236969,8.4768870191637919,15.686117289484608,6.6323668001279632,3.238905758599576,10.092107517504902,0.00068998742929138866,0.002337068404836978,0.00054368684574667369,0.00076309504267868533,-0.0073643279650319471,-0.0021102935853285487,0.0014414768778010702,0.001190247559958347,0.002337068404836978,1,2,1.6715522235799112e-13,1.5756606813764216e-11,1.0637221490363403e-06,9.9334865680998927,8.4728018916930914,15.636591357246873,6.5647800339647118,3.1660993922099707,10.093488822978182,0.13966477741770436,0.075233942659289468,0.049022752623227722,-0.031975180917363843,-0.24409069234123848,0.18465555238417153,0.095863838253285649,0.087973824233407202,0.13966477741770436,12,17,5.7240063383590112e-13,1.5707015635813808e-11,9.9465230067489383,8.4864270143166092,15.634980736850348,6.5646887202492188,3.1753353459028624,10.091687897429628,0.1284248212467618,0.066481889525702872,0.050610714482041984,-0.040450038766437046,-0.20350365132818737,0.19403107462121127,0.088457561891853456,0.081839141751502226,0.1284248212467618
1,,2163,43.259999999999998,10.025288204866232,8.4111198257145414,15.722810734617521,6.6191411805940916,3.2515795041765556,10.023310787330637,10.026390898781914,8.4111294469978013,15.722834725160492,6.621204727907946,3.2516163630628845,10.02332141655468,0.0023396925841223629,3.8093918057499308e-05,2.6239789553205504e-05,-0.0024269685084092885,-0.00013579466282465091,0.00010134543141404606,11.32010417440743,8.4072473460670043,15.734224837619992,7.1219352485757348,3.1885488190780231,10.004110807985032,1.3890105362366552,0.063149531768738387,0.022336538546127476,0.70411358139079994,-0.23393769290328592,-0.0077710316372439081,0.80287754443901638,0.49149886885050692,1.3890105362366552,2,3,2.8062946931528554e-15,1.5798741790328156e-11,0.00016699488410508304,10.185923727387577,8.4127675675699276,15.756780051940385,6.7690242084229961,3.221921936749248,9.9998825527410986,0.21970137261033562,0.029703305521898798,0.041264957232061292,0.11615552852443756,-0.10581301595185622,-0.08224038503867348,0.13019699968529314,0.096889878454765224,0.21970137261033562,2,3,1.2105177971122316e-12,1.582206180814996e-11,10.025615684428715,8.4105589853515283,15.723350745460564,6.6197597346912911,3.2495144482121168,10.023502588999019,0.00069989430273865354,0.002139859352632141,0.00057306159407010228,0.00073018850925876677,-0.0076331027235525539,-0.0021970764924930108,0.0013412990810717097,0.0011376050831469655,0.002139859352632141,1,2,9.8645789391788496e-14,1.5786117289484611e-11,1.0804455061853492e-06,9.8999349188867445,8.401197939024426,15.670792887575505,6.5502564896037212,3.1852564682961293,10.01738694985902,0.14303337707924652,0.06706108352754081,0.052354066329911103,-0.017516622176280805,-0.25184046586775111,0.19164401878548887,0.096084483908448093,0.0874828423122328,0.14303337707924652,11,16,1.2730438231356445e-11,1.5736591357246875e-11,9.9131969649830864,8.4171162561423891,15.668934335664526,6.5504500665909697,3.1923845636555441,10.015550429009373,0.13146450167832732,0.059497883669607593,0.054432430824066361,-0.027732267248758546,-0.21060682326195845,0.20142231297220903,0.089042691798391208,0.081798272057333754,0.13146450167832732
1,,2164,43.280000000000001,9.9936703618339706,8.3352572440659216,15.751529506913094,6.6033746564055082,3.259709700346527,9.9501885281074358,9.9948305814257221,8.3352710070516398,15.751553848314096,6.6054342585599271,3.2597436198331886,9.9501977083628983,0.002363910010039921,3.6605345937978458e-05,2.6015012840125963e-05,-0.0023063577624000686,-0.00014016890134982418,0.00010566988483518003,11.289495125539801,8.3277019092254658,15.75967042413612,7.1225199127999801,3.2018840269114426,9.9291150650217617,1.3959490017440299,0.058317163792253129,0.022591267774417296,0.56260582516610214,-0.24078146181128091,-0.0083218216645839505,0.80675995447687365,0.49228581110356678,1.3959490017440299,2,3,5.5143877745328362e-15,1.5834224837619994e-11,0.00015149030787178739,10.157436286901506,8.3345442007442099,15.78046129289695,6.7557024248424744,3.2326964743032582,9.922273421399888,0.22365828231972823,0.027022635179482724,0.040203251394749374,0.093984915597758345,-0.10981293646432633,-0.085049362416118157,0.13212311365410179,0.096961389631320116,0.22365828231972823,2,3,3.625558187003719e-12,1.5856780051940386e-11,9.9940149624339512,8.3344612345735278,15.752067045606189,6.6039918341414321,3.2578094110468383,9.9503448320381125,0.0007068648606537402,0.0020602743833028443,0.00055980243418485623,0.00069454133807056451,-0.0078746328473116023,-0.0022795809438918013,0.0012984307491532791,0.0011089805593804804,0.0020602743833028443,1,2,4.7090683200187895e-14,1.5823350745460566e-11,2.4996571074133825e-06,9.8653810453457371,8.3212314284497477,15.700443527778637,6.5330432152850264,3.1979740972268687,9.9455559996211029,0.14630331621361814,0.063308831897665091,0.051295590300755083,-0.0030277638512146154,-0.26003461835951924,0.19959262682387191,0.09668489388325989,0.086969246137346093,0.14630331621361814,11,16,1.1383351726512725e-11,1.5770792887575508e-11,9.878844644503074,8.3383008527156584,15.698307239762459,6.5333133927497853,3.2058874229545453,9.9437018302656313,0.13451217798248538,0.053908265574698008,0.053616107370309057,-0.014902525387263665,-0.21926425974765351,0.20984585475013162,0.089208209809801139,0.080678850309164149,0.13451217798248538
1,,2165,43.300000000000004,9.9609894478689203,8.2547183740337058,15.773079266663483,6.5848828491424323,3.2672001841493441,9.8677002668890594,9.9622120492233304,8.2547357383436371,15.773102806618454,6.586924199852664,3.2672349682119743,9.8677077246313889,0.0023794677543460272,3.8877374815124054e-05,2.4693063816597672e-05,-0.0021803383630896178,-0.00014458196369204757,0.00010982892773370168,11.258471462623421,8.2418664647496396,15.780940731421415,7.1241995578870831,3.2085405189005503,9.8451686798974354,1.4051057223364223,0.060051044115372113,0.023863676173241335,0.41013140105858525,-0.25002218159337986,-0.01002437956064739,0.81209558014690342,0.4963401475416786,1.4051057223364223,2,3,5.4712771856493814e-15,1.585967042413612e-11,9.7459835269094236e-05,10.129134493322761,8.2509492688122172,15.801003360882639,6.7392574625014152,3.2396599830486941,9.8364804853247971,0.22826361418414751,0.027796921247412426,0.041885914086725318,0.072164246823000155,-0.11402952601004301,-0.089410543230844297,0.13494613269761227,0.099315483172761745,0.22826361418414751,2,3,3.1922381404925204e-14,1.5880461292896951e-11,9.9613524690928728,8.2537214651066613,15.773598660056473,6.5854945153389757,3.2652525659914167,9.8678168355707996,0.00071128049673453112,0.0021879314198373369,0.00053231358637948931,0.00065725885735190559,-0.0081076401741242421,-0.0023730692416457089,0.0013633685729582371,0.0011438418343171191,0.0021879314198373369,1,2,2.3499683824319421e-14,1.5852067045606189e-11,6.9420463919022386e-07,9.8305976235093855,8.2350894533602119,15.7235119251503,6.5136389845008793,3.2046609915235291,9.8680336030970039,0.14858571973400259,0.065547274093551031,0.049568462329510544,0.011369815471063305,-0.26844652056331242,0.20805227519645797,0.098032636925462699,0.087900485385688065,0.14858571973400259,10,15,4.6452841573341175e-12,1.5800443527778638e-11,9.8441388098298503,8.2527853848266748,15.72132748435658,6.5139490322861908,3.2131127035935552,9.8664025760635621,0.13669556680424036,0.05412201031140141,0.051768049735523868,-0.0019793209500633679,-0.22763877128212329,0.21869751724333497,0.089990371628487109,0.080861875617055212,0.13669556680424036
1,,2166,43.32,9.9274647659503028,8.173136728253251,15.795470725245256,6.5639101086067146,3.2677263450021683,9.778019838230918,9.9287203856056987,8.1731588358860883,15.795493997732414,6.5659528466758692,3.2677624047228386,9.7780248516485031,0.0023977822124175837,4.2297173481479106e-05,2.3806364998360738e-05,-0.002042649717388656,-0.00014833143173120789,0.00011355534853763061,11.227446085013403,8.1504573531959572,15.803376232423975,7.126150271431368,3.2103505352690096,9.7544157387909003,1.4163563925107734,0.061695523302141453,0.02489278116496892,0.25053759109084695,-0.25647586240306097,-0.010907054911267977,0.81863533166601599,0.50098156565929453,1.4163563925107734,2,3,1.8601114572247557e-15,1.5880940731421416e-11,3.3741911824855774e-05,10.101129870728268,8.1647949628593661,15.822906022960035,6.7200525107903788,3.2403823326896317,9.7429128882205234,0.23353804481759963,0.028588110452332154,0.044555510318376332,0.050966714424930615,-0.11748036593107258,-0.092797872315820484,0.13825398359082081,0.10222722186276938,0.23353804481759963,2,3,9.0968899080223764e-13,1.5901003360882641e-11,9.9278372469788252,8.1718677407295921,15.795984049997713,6.5645222292469736,3.2657080747579186,9.7780821674481011,0.00071654294696139658,0.0023840604258335727,0.00051709499398107579,0.00061629571239052439,-0.0083188434365837338,-0.0024509292716636821,0.0014679424536479815,0.0012058994555920151,0.0023840604258335727,1,2,4.232129986628079e-14,1.5873598660056475e-11,2.1990009118731047e-06,9.7966384569711611,8.1429399710913888,15.745622076315215,6.4916196026682433,3.2065696895528983,9.7838342787559025,0.14947053345039663,0.068205429760637468,0.050186606966092805,0.025289951393354215,-0.27505339856270794,0.21599695064707447,0.099183527761331519,0.089287523392375626,0.14947053345039663,10,15,3.5237646134334e-12,1.5823511925150302e-11,9.8100669944730274,8.1624595132601048,15.743413969463042,6.4922633198991822,3.2148384121472358,9.7824385278521504,0.13753362890556031,0.053954947518070721,0.052243953148071211,0.010738028724254889,-0.23479800676843254,0.22703648577329361,0.090472953752577356,0.081244176523900744,0.13753362890556031
1,,2167,43.340000000000003,9.8940132694313316,8.0851915548977562,15.813802193499436,6.5405939671511053,3.2667704230245178,9.6818996611679644,9.8952594329755605,8.0852203484012168,15.813825718234774,6.54264015576201,3.2668020392927439,9.6819001697197056,0.0023957903519217015,4.2762767193615997e-05,2.3530231567392709e-05,-0.0018778618540977732,-0.00014984383632921094,0.00011722576448391919,11.197071393705539,8.052943833605319,15.819404933788821,7.1279810181621315,3.2143662198029208,9.6569840662352036,1.4293299209533272,0.061531423222977284,0.025537767514090114,0.08754868491680412,-0.25889186643953721,-0.012689740021244234,0.8261199098891745,0.50546637056346488,1.4293299209533272,2,3,4.5209875339929928e-15,1.5903376232423976e-11,4.4765865800489546e-05,10.073516619928537,8.0717812880774922,15.837616923709026,6.6983119018501567,3.2419859653258158,9.641625349075575,0.2389485295318981,0.028179861596704898,0.046788477101427001,0.030524215184733805,-0.11878091116477663,-0.096380459888948167,0.1415152123207214,0.10463895607667666,0.2389485295318981,2,3,7.9861499358013788e-12,1.5922906022960035e-11,9.8943828244245466,8.0835441184322505,15.814315621087797,6.5412068983173715,3.2650024106042315,9.6818628268174045,0.00071572027188736645,0.0024165915720620918,0.00051474717859477999,0.00056694899718934266,-0.0084123577334764832,-0.0025286882584545367,0.0014851638508509585,0.0012156863408480793,0.0024165915720620918,1,2,1.8991588629415496e-13,1.5895984049997714e-11,7.7043221375144982e-06,9.7641991212330126,8.044975920369497,15.764877246711599,6.466742180455026,3.2111035892749618,9.6956258300564695,0.14935126203235846,0.06867382063210932,0.050813956060795404,0.037992421358673312,-0.27773966588872412,0.22300949222494282,0.09933772569945043,0.089613012908421066,0.14935126203235846,10,15,1.0557299392338626e-11,1.5845622076315216e-11,9.7774626955906356,8.0655592693474798,15.762557345837278,6.4678092717393003,3.2175373087110914,9.6945122858055441,0.13741050960092083,0.053003077089227441,0.052774167091165447,0.022564889412862499,-0.23913348862411965,0.23440385603849734,0.090325498507486043,0.081062584593771234,0.13741050960092083
