sistema,método,orden estado,error h=0.4,error h=0.2,error h=0.1,error h=0.05
Oscilador,BM4,4.000905335574082,5.186944333173743e-06,3.228745884376104e-07,2.015941253106976e-08,1.259646934086018e-09
Oscilador,RK4,3.999723857039567,0.002129238150926168,0.0001332789938696531,8.332503809862599e-06,5.208204097342317e-07
Péndulo,BM4,4.001664919818849,6.031747336657687e-06,3.740190034280929e-07,2.333245599949395e-08,1.457643504862489e-09
Péndulo,RK4,3.843177930453757,0.0008516868739548204,6.282208596321529e-05,4.533337100130952e-06,3.049921639080732e-07
