sistema,método,h,pasos,evaluaciones fuerza,max absoluto,max relativo
Oscilador,BM4,0.2,50000,300000,2.24300197970706e-07,4.48600395941412e-07
Oscilador,RK4,0.1333333333333333,75000,300000,0.002911371084593772,0.005822742169187545
Péndulo,BM4,0.2,50000,300000,3.454186114915103e-08,3.717125145991171e-08
Péndulo,RK4,0.1333333333333333,75000,300000,0.0031499999057647,0.003389783720404876
