h,cota analítica,máximo observado,observado / cota,residuo invariante BM4,residuo fórmula RK4
0.4,3.621021765931598e-06,3.621021728739127e-06,0.9999999897287358,1.909583602355269e-14,6.883382752675971e-15
0.2,2.243002092394697e-07,2.24300197970706e-07,0.9999999497603513,2.148281552649678e-14,1.771499613667515e-14
0.1,1.398772025984485e-08,1.398773485927762e-08,1.000001043732109,2.886579864025407e-14,1.303536271979322e-14
0.05,8.737491286048282e-10,8.737602308350745e-10,1.000012706427832,3.197442310920451e-14,1.390915174378539e-14
