particle,start_cycle,end_cycle,duration_cycles
1,7.787984894330736,15.634541034017014,7.846556139686277
1,15.634541034017014,23.52916783228953,7.894626798272517
1,23.52916783228953,31.424864894405882,7.895697062116351
1,31.424864894405882,39.29614822074373,7.871283326337849
1,39.29614822074373,47.096425174274025,7.800276953530293
1,47.096425174274025,54.85483738088537,7.758412206611347
1,54.85483738088537,62.67979257233435,7.8249551914489786
1,62.67979257233435,70.5637312060914,7.8839386337570545
1,70.5637312060914,78.4624012672874,7.898670061196
1,78.4624012672874,86.34525901764634,7.882857750358937
1,86.34525901764634,94.17652284016461,7.831263822518267
1,94.17652284016461,101.92587260374323,7.749349763578621
1,101.92587260374323,109.7318171521026,7.8059445483593635
1,109.7318171521026,117.59860607596445,7.866788923861861
1,117.59860607596445,125.49722090102999,7.898614825065536
1,125.49722090102999,133.38792440502505,7.890703503995056
1,133.38792440502505,141.24328792786034,7.85536352283529
1,141.24328792786034,149.00710526663002,7.763817338769684
1,149.00710526663002,156.79236211097304,7.785256844343024
1,156.79236211097304,164.63739130320272,7.845029192229674
1,164.63739130320272,172.5315177983604,7.894126495157678
1,172.5315177983604,180.42749962525144,7.895981826891045
1,180.42749962525144,188.2997181481884,7.872218522936947
1,188.2997181481884,196.10231724739327,7.802599099204883
1,196.10231724739327,203.85947251120814,7.757155263814866
1,203.85947251120814,211.68307574237085,7.823603231162707
1,211.68307574237085,219.56604966921762,7.882973926846773
1,219.56604966921762,227.46481687100055,7.898767201782931
1,227.46481687100055,235.3482969324625,7.883480061461938
1,235.3482969324625,243.18137901879084,7.833082086328346
1,243.18137901879084,250.93086221001417,7.749483191223334
1,250.93086221001417,258.7355654042758,7.804703194261634
1,258.7355654042758,266.60100582262703,7.865440418351227
1,266.60100582262703,274.4994853923973,7.898479569770245
1,274.4994853923973,282.3906140979461,7.8911287055488515
1,282.3906140979461,290.24732494844943,7.856710850503305
1,290.24732494844943,298.01400051171424,7.766675563264812
1,298.01400051171424,305.7966962761527,7.782695764438472
1,305.7966962761527,313.64022695558066,7.843530679427943
1,313.64022695558066,321.53383036711375,7.893603411533093
1,321.53383036711375,329.4300840870856,7.896253719971867
1,329.4300840870856,337.30320646276306,7.87312237567744
1,337.30320646276306,345.10808480053174,7.804878337768685
1,345.10808480053174,352.8640958550237,7.756011054491978
1,352.8640958550237,360.6863712425338,7.822275387510103
1,360.6863712425338,368.5683576925686,7.881986450034788
1,368.5683576925686,376.4672098092644,7.898852116695764
1,376.4672098092644,384.3512982645874,7.884088455323024
1,384.3512982645874,392.18618173607734,7.834883471489945
1,392.18618173607734,399.93591789384027,7.749736157762925
1,399.93591789384027,407.73937589933274,7.803458005492473
1,407.73937589933274,415.6034381575383,7.864062258205536
1,415.6034381575383,423.50176287570855,7.898324718170272
1,423.50176287570855,431.3933110579651,7.8915481822565425
1,431.3933110579651,439.25135400412097,7.8580429461558765
1,439.25135400412097,447.02090812273946,7.769554118618487
1,447.02090812273946,454.8011251329768,7.7802170102373225
1,454.8011251329768,462.6431393546065,7.842014221629711
1,462.6431393546065,470.5361796890256,7.893040334419084
1,470.5361796890256,478.43270034774434,7.896520658718771
1,478.43270034774434,486.30672372127,7.874023373525631
1,486.30672372127,494.11390904916857,7.807185327898594
1,494.11390904916857,501.868854653771,7.754945604602426
1,501.868854653771,509.68978460425814,7.820929950487141
1,509.68978460425814,517.570728909154,7.880944304895877
1,517.570728909154,525.4696555102411,7.898926601087055
1,525.4696555102411,533.3543567929734,7.884701282732294
1,533.3543567929734,541.1910775300883,7.836720737114888
1,541.1910775300883,548.9412010280728,7.750123497984532
1,548.9412010280728,556.7433697239206,7.802168695847854
1,556.7433697239206,564.6059829351332,7.862613211212533
1,564.6059829351332,572.5041258667565,7.898142931623283
1,572.5041258667565,580.3960991451993,7.891973278442833
1,580.3960991451993,588.2554928415676,7.859393696368329
1,588.2554928415676,596.0280173098178,7.77252446825014
1,596.0280173098178,603.8057727618269,7.77775545200916
1,603.8057727618269,611.6462126399471,7.840439878120151
1,611.6462126399471,619.538630652649,7.89241801270191
1,619.538630652649,627.4354181918242,7.896787539175193
1,627.4354181918242,635.3103601140209,7.87494192219674
1,635.3103601140209,643.1199300841178,7.809569970096845
1,643.1199300841178,650.8738692135323,7.753939129414562
1,650.8738692135323,658.693403763263,7.819534549730633
1,658.693403763263,666.5732222713625,7.879818508099561
1,666.5732222713625,674.4722122100613,7.898989938698833
1,674.4722122100613,682.3575426710992,7.8853304610378245
1,682.3575426710992,690.1961703955012,7.838627724402045
1,690.1961703955012,697.9468363961153,7.750666000614046
1,697.9468363961153,705.7476402025621,7.800803806446879
1,705.7476402025621,713.6087006608583,7.861060458296151
1,713.6087006608583,721.5066266082328,7.8979259473744605
1,721.5066266082328,729.3990369746824,7.892410366449667
1,729.3990369746824,737.2598186636902,7.860781689007808
1,737.2598186636902,745.0354459373831,7.775627273692862
1,745.0354459373831,752.8107239216325,7.775277984249442
1,752.8107239216325,760.6495063496417,7.838782428009154
1,760.6495063496417,768.5412257929369,7.891719443295187
1,768.5412257929369,776.4382815274631,7.897055734526248
1,776.4382815274631,784.3141691488892,7.875887621426045
1,784.3141691488892,792.12622579471,7.812056645820803
1,792.12622579471,799.8792153630263,7.752989568316366
1,799.8792153630263,807.6972855791765,7.818070216150204
1,807.6972855791765,815.5758738754652,7.878588296288626
1,815.5758738754652,823.474913133869,7.899039258403832
1,823.474913133869,831.3608939488217,7.885980814952745
1,831.3608939488217,839.2015116931711,7.840617744349402
1,839.2015116931711,846.9529003453281,7.7513886521569475
1,846.9529003453281,854.7522440738588,7.799343728530744
1,854.7522440738588,862.6116283654645,7.859384291605693
1,862.6116283654645,870.5092936239404,7.897665258475854
1,870.5092936239404,878.4021546088948,7.892860984954382
1,878.4021546088948,886.2643674577882,7.862212848893478
1,886.2643674577882,894.04324051429,7.778873056501766
1,894.04324051429,901.8160211486594,7.772780634369383
1,901.8160211486594,909.653053596952,7.837032448292575
1,909.653053596952,917.5439848648376,7.890931267885662
1,917.5439848648376,925.4413082226581,7.897323357820483
1,925.4413082226581,933.3181689702225,7.876860747564365
1,933.3181689702225,941.1328151900728,7.814646219850374
1,941.1328151900728,948.8849233531752,7.752108163102321
1,948.8849233531752,956.7014538124529,7.816530459277715
1,956.7014538124529,964.5786961552,7.877242342747081
1,964.5786961552,972.4777664479578,7.8990702927578695
1,972.4777664479578,980.3644169096847,7.886650461726845
1,980.3644169096847,988.2071005095041,7.842683599819452
1,988.2071005095041,995.9594160042897,7.752315494785535
1,995.9594160042897,1003.7571969858507,7.797780981561004
1,1003.7571969858507,1011.6147790162753,7.8575820304246236
1,1011.6147790162753,1019.512131968971,7.897352952695655
1,1019.512131968971,1027.4054539460435,7.89332197707256
1,1027.4054539460435,1035.2691317304914,7.863677784447873
1,1035.2691317304914,1043.0513685169424,7.782236786450994
1,1043.0513685169424,1050.8216530865286,7.770284569586238
1,1050.8216530865286,1058.656851772265,7.835198685736486
1,1058.656851772265,1066.5468992895112,7.890047517246103
1,1066.5468992895112,1074.4444847292862,7.897585439774957
1,1074.4444847292862,1082.3223355346415,7.877850805355365
1,1082.3223355346415,1090.1396463213525,7.817310786711005
1,1090.1396463213525,1097.8909615906991,7.751315269346605
1,1097.8909615906991,1105.7058858676473,7.814924276948204
1,1105.7058858676473,1113.5816699988839,7.875784131236514
1,1113.5816699988839,1121.480748136835,7.8990781379511645
1,1121.480748136835,1129.3680778300534,7.887329693218362
1,1129.3680778300534,1137.2128696742088,7.844791844155452
1,1137.2128696742088,1144.9663210384215,7.753451364212651
1,1144.9663210384215,1152.7624478795158,7.796126841094292
1,1152.7624478795158,1160.6181239183545,7.855676038838737
1,1160.6181239183545,1168.5151090153,7.8969850969454
1,1168.5151090153,1176.408893233929,7.89378421862898
1,1176.408893233929,1184.2740411934162,7.865147959487331
1,1184.2740411934162,1192.0596892685642,7.785648075147947
1,1192.0596892685642,1199.8275290212543,7.767839752690179
1,1199.8275290212543,1207.660844265992,7.833315244737605
1,1207.660844265992,1215.5499199756446,7.889075709652616
1,1215.5499199756446,1223.4477535192582,7.897833543613615
1,1223.4477535192582,1231.3265880115491,7.878834492290935
1,1231.3265880115491,1239.1465736701625,7.819985658613405
1,1239.1465736701625,1246.897209243154,7.750635572991541
1,1246.897209243154,1254.7104920696538,7.813282826499744
1,1254.7104920696538,1262.5847326840317,7.874240614377868
1,1262.5847326840317,1270.4837914703983,7.899058786366595
1,1270.4837914703983,1278.3717916633739,7.888000192975596
1,1278.3717916633739,1286.2186728328306,7.846881169456765
1,1286.2186728328306,1293.9734439492297,7.75477111639907
1,1293.9734439492297,1301.7678618259472,7.794417876717489
