particle,start_cycle,stop_cycle_exclusive,q,correlation,rms_over_L,max_over_L,mean_rotation_cycles
1,0,500,8,0.9909234518604738,0.0032882000204729426,0.005780280610781624,7.8439665186264165
1,500,1000,8,0.9909573461474228,0.0032860977556686474,0.005801855188159902,7.842707323024106
1,1000,1500,8,0.990961964018504,0.003284512589466506,0.00580712905792881,7.842572652328539
1,1500,2000,8,0.991003842515213,0.0032757209939344783,0.005795761301412458,7.842265948285616
1,2000,2500,8,0.9909965255516044,0.003274882542700003,0.005777306777221604,7.842049487552953
1,2500,3000,8,0.9910120974802923,0.003275421711784431,0.005805722634173027,7.8422161051126995
1,3000,3500,8,0.9910104512613669,0.0032762846038434084,0.0058071307593212,7.842010495365583
1,3500,4000,8,0.9909960180419115,0.0032762534117276336,0.005796036063828997,7.841936641755977
1,4000,4500,8,0.9910162761531756,0.0032720774053321554,0.005786659368928536,7.841029733814675
1,4500,5000,8,0.9909704531467687,0.0032821317218738716,0.005807127195770277,7.84195633493275
3,0,500,7,0.9951879421799381,0.0010794442884038981,0.0017880784242740968,6.900898797216335
3,500,1000,7,0.9952171677197477,0.0010775135709895623,0.0017854203167182495,6.901041681677487
3,1000,1500,7,0.9952021502336809,0.001078061999346539,0.0017879891266195547,6.90159306514122
3,1500,2000,7,0.9951627051822728,0.0010822173564889708,0.0017877931442200298,6.900854865906999
3,2000,2500,7,0.9951527788058071,0.0010821614974719442,0.0017880672481663243,6.899565952581254
3,2500,3000,7,0.9951679792637497,0.0010813872912626503,0.0017880726862717574,6.900679220695142
3,3000,3500,7,0.9952136547633477,0.001077275515190277,0.0017844950529992837,6.901493513331837
3,3500,4000,7,0.9952136958694131,0.0010777574736432936,0.0017879748359570311,6.90105369262837
3,4000,4500,7,0.995180186542392,0.0010807098987830328,0.0017865633608609003,6.90119805749145
3,4500,5000,7,0.9951605833020213,0.0010821937837116526,0.001788074489315629,6.900515007964945
5,0,500,8,0.9982759361075487,0.0019322388641214074,0.0036036289578199312,7.998430680682514
5,500,1000,8,0.998267239695216,0.0019364057710162246,0.0036004822789083004,7.99931014463922
5,1000,1500,8,0.9982766410919033,0.0019314522922414571,0.0036027867424439923,7.9997223518549365
5,1500,2000,8,0.998287090374214,0.0019249523502228307,0.0036043620930395833,7.998102111564449
5,2000,2500,8,0.9982779770215469,0.0019302743934594888,0.0035929990642222646,7.99939269760306
5,2500,3000,8,0.998287486635507,0.0019243907436231934,0.0036034194872084442,7.997395518846491
5,3000,3500,8,0.9982867085193614,0.0019252283777643634,0.0036000268859422997,7.999307589237956
5,3500,4000,8,0.998279129996737,0.0019288929174014738,0.0036030609888765444,7.997647669203027
5,4000,4500,8,0.9982768485247042,0.001930902348865549,0.0036043797355192627,7.999530428155433
5,4500,5000,8,0.9982774400537494,0.001929978811914122,0.0035937426036434816,7.998870021386136
7,0,500,9,0.9872855479414179,0.007541803787589546,0.016368154002431,8.801352987642607
7,500,1000,9,0.9847955080497135,0.008174520982803668,0.0166492763398376,8.783711750573529
7,1000,1500,9,0.9875079357648988,0.0074650088241640464,0.014731637995261377,8.807230893920677
7,1500,2000,9,0.9896092443507982,0.006847443984484195,0.013641038525948841,8.819372221354099
7,2000,2500,9,0.9895623937900461,0.0069858622783034365,0.014263761997032998,8.885127371112581
7,2500,3000,9,0.9943791525899439,0.005463407959826543,0.014266436990544968,9.063336743418404
7,3000,3500,9,0.9944359019877874,0.005271113949401338,0.013096585291060985,8.977869921789832
7,3500,4000,9,0.9845778719863324,0.008230114773484726,0.016126651160095366,8.775206411148613
7,4000,4500,9,0.9853261392788433,0.008046720162229369,0.016394874466280848,8.792455660350956
7,4500,5000,9,0.9948508555060624,0.00509130834015915,0.013358810048992743,9.00054199826681
