particle,lag,correlation
1,0,1.0
3,0,1.0
5,0,1.0
7,0,1.0
1,1,0.6763156281029447
3,1,0.6053028278129201
5,1,0.6800614165988491
7,1,0.7376844332629356
1,2,-0.05144795115141232
3,2,-0.2523369334482781
5,2,-0.02709728032417383
7,2,0.12676290313137234
1,3,-0.7189426257486283
3,3,-0.901172238157786
5,3,-0.6807574033787572
7,3,-0.5149354979928242
1,4,-0.9547609635563352
3,4,-0.8639913393246154
5,4,-0.9398419807452272
7,4,-0.901312092990483
1,5,-0.6350812723862127
3,5,-0.16763909198566723
5,5,-0.6818679819869693
7,5,-0.8747405668263234
1,6,0.07151018253568633
3,6,0.673048573323329
5,6,-0.02914140218210005
7,6,-0.44664026282419805
1,7,0.7651676261243087
3,7,0.9951873156372303
5,7,0.6777734645843861
7,7,0.20681410986506255
1,8,0.9909531594278768
3,8,0.53182707273885
5,8,0.9982772515144361
7,8,0.7893724195567179
1,9,0.5767305824313359
3,9,-0.3348069835011757
5,9,0.6796884857687119
7,9,0.9894170607624001
1,10,-0.1726189689918625
3,10,-0.9303488661940295
5,10,-0.026147863888822655
7,10,0.6724216674122344
1,11,-0.7912464839790506
3,11,-0.8188930953433784
5,11,-0.6789692045466551
7,11,0.04486811041628171
1,12,-0.939982004527825
3,12,-0.0808254606361082
5,12,-0.9378422519192333
7,12,-0.5741541056011821
1,13,-0.5409377707076777
3,13,0.7349959894230168
5,13,-0.6804512781787737
7,13,-0.9128268994512511
1,14,0.19421676160556953
3,14,0.9810107252914593
5,14,-0.028807842143695278
7,14,-0.8334426362526242
1,15,0.8415010443563896
3,15,0.45315009628271835
5,15,0.6767222075715502
7,15,-0.36960857010394504
1,16,0.9645149716240786
3,16,-0.4147750762216676
5,16,0.9960596937697835
7,16,0.28493933881575656
1,17,0.468792020936885
3,17,-0.9517498041338021
5,17,0.6773264971775461
7,17,0.8277989900200913
1,18,-0.2898294883589589
3,18,-0.7663601949286948
5,18,-0.02785732194836346
7,18,0.9599798903870708
1,19,-0.851097633594804
3,19,0.007652279328155759
5,19,-0.6795951358824873
7,19,0.5962059857420512
1,20,-0.9110519803398645
3,20,0.791157668996273
5,20,-0.9372158942215336
7,20,-0.037102124959673716
1,21,-0.4383625265635951
3,21,0.9581429159290425
5,21,-0.678816527295734
7,21,-0.6240991746520538
1,22,0.314361385619495
3,22,0.3700505515520042
5,22,-0.026689200502808447
7,22,-0.9102367769080064
1,23,0.9039813626512433
3,23,-0.49199592108298634
5,23,0.6786366164569684
7,23,-0.7791801131184556
1,24,0.9219997968011269
3,24,-0.9657871919032615
5,24,0.9970414160833423
7,24,-0.28596085730826715
