particle,short_q,correlation,mean_rotation_cycles,rotation_q25,rotation_q75,measured_revolutions,angular_clock_status,rms_over_L,max_over_L,heldout_template_score,block_period_min,block_period_max
1,8,0.9909531594278768,7.8423925677461686,7.802265058268631,7.889742803943932,636,Resolved monotone angular clock.,0.0032850811344114893,0.0058071307593212,-0.002173105474712722,7.841029733814675,7.8439665186264165
3,7,0.9951873156372303,6.90100300221446,6.865677884156412,6.93771117111487,723,Resolved monotone angular clock.,0.001079796849744333,0.0017880784242740968,0.00022510162372113562,6.899565952581254,6.90159306514122
5,8,0.9982772515144361,8.000025413929137,7.911693582255566,8.088737906376167,623,Resolved monotone angular clock.,0.0019308879958864441,0.0036043797355192627,0.9979703177329096,7.997395518846491,7.9997223518549365
7,9,0.9894170607624001,8.868858441152925,8.71674174493171,8.997469632821094,562,Resolved monotone angular clock.,0.00702640133962493,0.0166492763398376,-0.022256992320671687,8.775206411148613,9.063336743418404
