threshold_fraction,entry,exit,duration,entry_censored,exit_censored
0.01,6.285414653977306,7.348081578139635,1.062666924162329,False,False
0.01,13.35626386996915,14.426257371177577,1.0699935012084278,False,False
0.01,14.899679437117362,15.126548168423422,0.22686873130606067,False,False
0.01,20.41958678144111,20.92618369473749,0.5065969132963772,False,False
0.01,21.100478993744357,21.55603487529671,0.45555588155235327,False,False
0.01,21.752673854298337,22.190942731045478,0.43826887674714143,False,False
0.01,27.4617033696598,27.80057234303007,0.33886897337026767,False,False
0.01,28.184671677083223,29.251794027881573,1.0671223507983498,False,False
0.01,34.55147506449039,34.6560748770416,0.1045998125512071,False,False
0.01,35.2385712453418,36.30209309730394,1.0635218519621361,False,False
0.01,42.298374620682004,43.35982143617142,1.0614468154894183,False,False
0.01,49.373699894379214,50.0,0.6263001056207855,False,True
0.001,6.463171685526895,6.514660205275848,0.05148851974895319,False,False
0.001,35.94657174755936,36.0446685499532,0.09809680239384022,False,False
0.001,42.47855256075591,42.53384161188244,0.05528905112652893,False,False
