cycle,bm4_distance,reference_distance,cell_fraction,dx,dy,bm4_trajectory_error,reference_discrepancy,velocity_difference
1,0.23160244043296827,0.23160244033989977,0.01228689107075253,0.07720064562057871,0.21835693414032598,3.0370619018874547e-10,2.197639553045416e-08,0.17113908829734906
2,0.35478206762855446,0.35478206804287515,0.018821773283138134,-0.07719981210299132,0.346280962248926,8.135754298143416e-10,2.8646654399371463e-08,0.713571422637455
3,0.400702184563813,0.4007021851119542,0.021257911156106726,-0.29910578328128246,0.26664202887239163,1.7637715932070883e-09,4.1538238359364356e-08,0.8779689317264191
4,0.4180013144415297,0.4180013171055724,0.02217565861210164,-0.40591124945493284,-0.09980560439137953,3.850346021732689e-09,5.308411031161014e-08,0.4795377427271919
5,0.4703874426718837,0.4703874472854857,0.024954829134632477,-0.3492163683955276,-0.31513850702253876,5.1369606163411836e-09,1.1845371145080093e-07,0.21643422097068485
6,0.3284760626920326,0.3284760680668379,0.01742619664008363,-0.20817250974112866,-0.25408804277401487,5.845826673539181e-09,2.1141674597203722e-07,0.0791962247468221
7,0.05597286442255106,0.055972869156206896,0.002969452935083421,-0.031835043473952496,-0.04603794183702625,4.828676860780184e-09,1.854269492679516e-07,0.008434793411196337
8,0.20042309235013409,0.20042309168376665,0.010632775250415368,0.08369239962049235,0.1821125968346049,3.6882373724023142e-09,1.168898448198761e-07,0.10364247765721296
9,0.33656513230073276,0.3365651321324957,0.01785533481709598,-0.03452006721501455,0.3347901628286518,6.218109706191155e-09,1.6297739321331602e-07,0.6200334010138395
10,0.41036868842513313,0.41036869193488024,0.021770735270540364,-0.265630596727938,0.3127984165597777,7.355387332837725e-09,2.0526810896896837e-07,0.900089803059273
11,0.4068037622246407,0.40680376433267523,0.021581609987321723,-0.4053349032025224,-0.03453865835605896,5.719220705335169e-09,2.6173442092566264e-07,0.5694550694355869
12,0.49115450641806463,0.49115451633048357,0.026056556365313677,-0.3778430792683274,-0.3137951025125467,9.915620848406236e-09,1.1268800678682631e-07,0.25037647519216916
13,0.3935581817560123,0.3935582006628862,0.02087891100995962,-0.2448618660997095,-0.3081082988807289,1.9407154091378962e-08,2.8711633674812373e-07,0.09314421371259327
14,0.1303494566453379,0.13034947582805156,0.006915254469160455,-0.06902040614023441,-0.11057653179985749,1.96426320252014e-08,3.5390513394426285e-07,0.019453751135554833
15,0.1579560895601009,0.15795608150900023,0.008379830387865047,0.08691981099672397,0.13189037168031525,1.309993479659879e-08,2.66948222097902e-07,0.03160138243010025
16,0.3169944975779575,0.3169944962604387,0.016817080337599027,0.02246222713018753,0.3161976581376926,1.7783452333730124e-08,2.851542565640606e-07,0.47853224456024923
17,0.4144035771356097,0.41440357992188803,0.02198479272652526,-0.21185978153256357,0.356154123970299,1.8928243921848794e-08,3.4159989820495285e-07,0.9000319439164692
18,0.39237295035820585,0.3923729497430495,0.020816031495727513,-0.3870872310313622,0.06418728271655105,2.5778670328733433e-08,5.891640885778103e-07,0.6968527494204049
19,0.48680862344035003,0.4868086221562629,0.025825999518653078,-0.3974752920109772,-0.28106231843928775,9.70087379354218e-09,3.785374981857289e-07,0.2925834285807536
20,0.43884862211724174,0.43884863477887115,0.02328164316473965,-0.28174294968663993,-0.33646550276239395,1.3268487258034763e-08,1.745521154226444e-07,0.12833043171982347
21,0.2018203874911828,0.2018204109827234,0.010706905341584291,-0.11260216733140993,-0.16748800017166765,2.3599434702688764e-08,1.1479088392417382e-07,0.018300207386971162
22,0.09952698960282552,0.09952696764344623,0.005280069623802932,0.06497797193411614,0.07538886158862468,2.2439326029094574e-08,1.591389710783054e-07,0.012836633619350231
23,0.2893101359162813,0.2893101258460185,0.015348378871651028,0.06441651619170052,0.28204762250152626,1.7302926852495104e-08,1.0356216493780204e-07,0.3153141194538969
24,0.39786962505228407,0.39786961904530055,0.021107638859059225,-0.1486990596262654,0.36903769919280194,2.0393789640527965e-08,1.280632447433472e-07,0.8499783446023357
25,0.38827059145268944,0.3882705963712827,0.020598394889918617,-0.3510067083112549,0.16597694637210658,3.225855404141749e-08,1.598120856677346e-07,0.8021544663639569
26,0.45289669898332025,0.4528966948415149,0.024026915898013854,-0.40176796291865813,-0.20904047495774591,1.9817332329904385e-08,2.0911470119757888e-07,0.356538157351873
27,0.4474038964710334,0.4474039101015212,0.02373551461711048,-0.3073235329128927,-0.32514997292337,1.4712562264831227e-08,1.2791029683190407e-07,0.16261864289065095
28,0.2459612095380181,0.24596123593900573,0.013048648836234166,-0.15024793577289408,-0.19473696973257937,2.640100171274618e-08,7.114146333389124e-08,0.039474878812427144
