
[2026-09-20T15:52:40.409164+00:00] Cell 1: parameters

[2026-09-20T15:52:40.537338+00:00] Cell 2: 2
Worker 1: checkpoint 4000/100000 (4.0%), t=200
Worker 3: checkpoint 4000/100000 (4.0%), t=200
Worker 12: checkpoint 4000/100000 (4.0%), t=200
Worker 2: checkpoint 4000/100000 (4.0%), t=200
Worker 6: checkpoint 4000/100000 (4.0%), t=200
Worker 4: checkpoint 4000/100000 (4.0%), t=200
Worker 14: checkpoint 4000/100000 (4.0%), t=200
Worker 15: checkpoint 4000/100000 (4.0%), t=200
Worker 13: checkpoint 4000/100000 (4.0%), t=200
Worker 5: checkpoint 4000/100000 (4.0%), t=200
Worker 11: checkpoint 4000/100000 (4.0%), t=200
Worker 7: checkpoint 4000/100000 (4.0%), t=200
Worker 16: checkpoint 4000/100000 (4.0%), t=200
Worker 8: checkpoint 4000/100000 (4.0%), t=200
Worker 9: checkpoint 4000/100000 (4.0%), t=200
Worker 10: checkpoint 4000/100000 (4.0%), t=200
Worker 1: checkpoint 4500/100000 (4.5%), t=225
Worker 3: checkpoint 4500/100000 (4.5%), t=225
Worker 12: checkpoint 4500/100000 (4.5%), t=225
Worker 6: checkpoint 4500/100000 (4.5%), t=225
Worker 13: checkpoint 4500/100000 (4.5%), t=225
Worker 2: checkpoint 4500/100000 (4.5%), t=225
Worker 4: checkpoint 4500/100000 (4.5%), t=225
Worker 14: checkpoint 4500/100000 (4.5%), t=225
Worker 15: checkpoint 4500/100000 (4.5%), t=225
Worker 11: checkpoint 4500/100000 (4.5%), t=225
Worker 5: checkpoint 4500/100000 (4.5%), t=225
Worker 7: checkpoint 4500/100000 (4.5%), t=225
Worker 16: checkpoint 4500/100000 (4.5%), t=225
Worker 9: checkpoint 4500/100000 (4.5%), t=225
Worker 8: checkpoint 4500/100000 (4.5%), t=225
Worker 10: checkpoint 4500/100000 (4.5%), t=225
Worker 1: checkpoint 5000/100000 (5.0%), t=250
Worker 3: checkpoint 5000/100000 (5.0%), t=250
Worker 12: checkpoint 5000/100000 (5.0%), t=250
Worker 13: checkpoint 5000/100000 (5.0%), t=250
Worker 6: checkpoint 5000/100000 (5.0%), t=250
Worker 4: checkpoint 5000/100000 (5.0%), t=250
Worker 14: checkpoint 5000/100000 (5.0%), t=250
Worker 2: checkpoint 5000/100000 (5.0%), t=250
Worker 15: checkpoint 5000/100000 (5.0%), t=250
Worker 11: checkpoint 5000/100000 (5.0%), t=250
Worker 7: checkpoint 5000/100000 (5.0%), t=250
Worker 5: checkpoint 5000/100000 (5.0%), t=250
Worker 16: checkpoint 5000/100000 (5.0%), t=250
Worker 9: checkpoint 5000/100000 (5.0%), t=250
Worker 8: checkpoint 5000/100000 (5.0%), t=250
Worker 10: checkpoint 5000/100000 (5.0%), t=250
Worker 1: checkpoint 5500/100000 (5.5%), t=275
Worker 3: checkpoint 5500/100000 (5.5%), t=275
Worker 12: checkpoint 5500/100000 (5.5%), t=275
Worker 13: checkpoint 5500/100000 (5.5%), t=275
Worker 6: checkpoint 5500/100000 (5.5%), t=275
Worker 2: checkpoint 5500/100000 (5.5%), t=275
Worker 14: checkpoint 5500/100000 (5.5%), t=275
Worker 4: checkpoint 5500/100000 (5.5%), t=275
Worker 15: checkpoint 5500/100000 (5.5%), t=275
Worker 7: checkpoint 5500/100000 (5.5%), t=275
Worker 11: checkpoint 5500/100000 (5.5%), t=275
Worker 5: checkpoint 5500/100000 (5.5%), t=275
Worker 16: checkpoint 5500/100000 (5.5%), t=275
Worker 9: checkpoint 5500/100000 (5.5%), t=275
Worker 8: checkpoint 5500/100000 (5.5%), t=275
Worker 10: checkpoint 5500/100000 (5.5%), t=275
Worker 1: checkpoint 6000/100000 (6.0%), t=300
Worker 3: checkpoint 6000/100000 (6.0%), t=300
Worker 12: checkpoint 6000/100000 (6.0%), t=300
Worker 13: checkpoint 6000/100000 (6.0%), t=300
Worker 2: checkpoint 6000/100000 (6.0%), t=300
