
[2026-09-20T17:06:28.083226+00:00] Cell 1: parameters

[2026-09-20T17:06:28.301317+00:00] Cell 2: 2
Worker 4: checkpoint 13500/100000 (13.5%)
Worker 4: checkpoint 13500/100000 (13.5%)
Worker 1: checkpoint 8500/100000 (8.5%)
Worker 1: checkpoint 8500/100000 (8.5%)
Worker 4: checkpoint 14000/100000 (14.0%)
Worker 4: checkpoint 14000/100000 (14.0%)
Worker 1: checkpoint 9000/100000 (9.0%)
Worker 1: checkpoint 9000/100000 (9.0%)
Worker 4: checkpoint 14500/100000 (14.5%)
Worker 4: checkpoint 14500/100000 (14.5%)
Worker 1: checkpoint 9500/100000 (9.5%)
Worker 3: checkpoint 13500/100000 (13.5%)
Worker 2: checkpoint 14000/100000 (14.0%)
Worker 1: checkpoint 9500/100000 (9.5%)
Worker 3: checkpoint 13500/100000 (13.5%)
Worker 2: checkpoint 14000/100000 (14.0%)
Worker 4: checkpoint 15000/100000 (15.0%)
Worker 4: checkpoint 15000/100000 (15.0%)
Worker 3: checkpoint 14000/100000 (14.0%)
Worker 3: checkpoint 14000/100000 (14.0%)
Worker 4: checkpoint 15500/100000 (15.5%)
Worker 4: checkpoint 15500/100000 (15.5%)
Worker 3: checkpoint 14500/100000 (14.5%)
Worker 3: checkpoint 14500/100000 (14.5%)
Worker 4: checkpoint 16000/100000 (16.0%)
Worker 4: checkpoint 16000/100000 (16.0%)
Worker 3: checkpoint 15000/100000 (15.0%)
Worker 3: checkpoint 15000/100000 (15.0%)
Worker 4: checkpoint 16500/100000 (16.5%)
Worker 4: checkpoint 16500/100000 (16.5%)
Worker 1: checkpoint 10000/100000 (10.0%)
Worker 2: checkpoint 14500/100000 (14.5%)
Worker 1: checkpoint 10000/100000 (10.0%)
Worker 2: checkpoint 14500/100000 (14.5%)
Worker 3: checkpoint 15500/100000 (15.5%)
Worker 3: checkpoint 15500/100000 (15.5%)
Worker 4: checkpoint 17000/100000 (17.0%)
Worker 4: checkpoint 17000/100000 (17.0%)
Worker 3: checkpoint 16000/100000 (16.0%)
Worker 3: checkpoint 16000/100000 (16.0%)
Worker 4: checkpoint 17500/100000 (17.5%)
Worker 4: checkpoint 17500/100000 (17.5%)
Worker 3: checkpoint 16500/100000 (16.5%)
Worker 3: checkpoint 16500/100000 (16.5%)
Worker 4: checkpoint 18000/100000 (18.0%)
Worker 4: checkpoint 18000/100000 (18.0%)
Worker 1: checkpoint 10500/100000 (10.5%)
Worker 1: checkpoint 10500/100000 (10.5%)
Worker 2: checkpoint 15000/100000 (15.0%)
Worker 2: checkpoint 15000/100000 (15.0%)
Worker 4: checkpoint 18500/100000 (18.5%)
Worker 4: checkpoint 18500/100000 (18.5%)
Worker 1: checkpoint 11000/100000 (11.0%)
Worker 1: checkpoint 11000/100000 (11.0%)
Worker 3: checkpoint 17000/100000 (17.0%)
Worker 1: checkpoint 11500/100000 (11.5%)
Worker 3: checkpoint 17000/100000 (17.0%)
Worker 1: checkpoint 11500/100000 (11.5%)
Worker 2: checkpoint 15500/100000 (15.5%)
Worker 2: checkpoint 15500/100000 (15.5%)
Worker 4: checkpoint 19000/100000 (19.0%)
Worker 4: checkpoint 19000/100000 (19.0%)
Worker 2: checkpoint 16000/100000 (16.0%)
Worker 2: checkpoint 16000/100000 (16.0%)
Worker 4: checkpoint 19500/100000 (19.5%)
Worker 4: checkpoint 19500/100000 (19.5%)
Worker 1: checkpoint 12000/100000 (12.0%)
Worker 1: checkpoint 12000/100000 (12.0%)
Worker 2: checkpoint 16500/100000 (16.5%)
Worker 2: checkpoint 16500/100000 (16.5%)
Worker 1: checkpoint 12500/100000 (12.5%)
Worker 4: checkpoint 20000/100000 (20.0%)
Worker 1: checkpoint 12500/100000 (12.5%)
