particle,best_q,rms_over_L,p95_over_L,max_over_L,first_half_rms,second_half_rms,first_half_best_q,second_half_best_q,overlap_pairs,record_repetitions,closest_initial_return,closest_initial_distance_over_L,peak_frequency,oscillation_cycles,first_half_frequency,second_half_frequency
1,149,8.640325455147561e-05,0.0001413811550082722,0.00017731086150400834,8.501824055430226e-05,8.807141815276273e-05,149,149,4852,33.557046979865774,1890,4.714097498213873e-06,0.12760000000000002,7.836990595611284,0.12760000000000002,0.12760000000000002
3,835,3.062392941401283e-05,4.6161091496921565e-05,5.296222164902285e-05,3.062074978678926e-05,3.0611409875343154e-05,835,835,4166,5.9880239520958085,2574,4.67403763933569e-06,0.14500000000000002,6.896551724137931,0.1448,0.1448
5,712,3.161868145315933e-05,5.1186343524512975e-05,6.107823512033377e-05,3.1596174808808264e-05,3.1639405014348224e-05,712,712,4289,7.022471910112359,2456,2.4831304902396187e-06,0.125,8.0,0.12480000000000001,0.12480000000000001
7,9,0.00702640133962493,0.011530275857522056,0.0166492763398376,0.007435010715350999,0.006584147521563036,9,9,4992,555.5555555555555,1875,0.00022085960600433396,0.1136,8.80281690140845,0.1136,0.114
